# x_m, y_m
-142.256, 109.372
-146.109, 112.551
-149.962, 115.731
-153.815, 118.910
-157.668, 122.090
-161.521, 125.269
-165.374, 128.448
-169.227, 131.628
-173.080, 134.807
-176.933, 137.987
-180.787, 141.166
-184.640, 144.346
-188.493, 147.525
-192.346, 150.704
-196.199, 153.884
-200.052, 157.063
-203.905, 160.243
-207.758, 163.422
-211.611, 166.602
-215.464, 169.781
-219.317, 172.961
-223.170, 176.140
-227.023, 179.320
-230.876, 182.499
-234.729, 185.679
-238.582, 188.858
-242.435, 192.038
-246.288, 195.217
-250.141, 198.397
-253.994, 201.576
-257.847, 204.756
-261.700, 207.935
-265.553, 211.115
-269.406, 214.294
-273.259, 217.473
-277.112, 220.653
-280.965, 223.832
-284.818, 227.012
-288.671, 230.191
-292.524, 233.370
-296.377, 236.550
-300.230, 239.729
-304.083, 242.908
-307.936, 246.088
-311.790, 249.267
-315.643, 252.446
-319.496, 255.625
-323.349, 258.805
-327.203, 261.984
-331.056, 265.163
-334.909, 268.342
-338.762, 271.521
-342.616, 274.700
-346.469, 277.879
-350.323, 281.058
-354.176, 284.237
-358.030, 287.416
-361.883, 290.595
-365.737, 293.774
-369.590, 296.952
-373.444, 300.131
-377.297, 303.310
-381.151, 306.489
-385.005, 309.667
-388.858, 312.846
-392.712, 316.024
-396.566, 319.203
-400.420, 322.381
-404.274, 325.560
-408.128, 328.738
-411.982, 331.916
-415.836, 335.095
-419.690, 338.273
-423.544, 341.451
-427.398, 344.629
-431.252, 347.807
-435.106, 350.985
-438.961, 354.163
-442.815, 357.341
-446.669, 360.519
-450.524, 363.696
-454.378, 366.874
-458.233, 370.052
-462.088, 373.229
-465.942, 376.407
-469.797, 379.584
-473.652, 382.761
-477.507, 385.939
-481.361, 389.116
-485.216, 392.293
-489.071, 395.470
-492.927, 398.647
-496.782, 401.824
-500.637, 405.000
-504.492, 408.177
-508.348, 411.354
-512.203, 414.530
-516.058, 417.707
-519.914, 420.883
-523.770, 424.060
-527.625, 427.236
-531.481, 430.412
-535.337, 433.588
-539.193, 436.764
-543.048, 439.940
-546.904, 443.116
-550.760, 446.292
-554.616, 449.468
-558.472, 452.644
-562.328, 455.820
-566.184, 458.996
-570.040, 462.172
-573.895, 465.348
-577.747, 468.529
-581.581, 471.730
-585.370, 474.985
-589.081, 478.330
-592.675, 481.799
-596.110, 485.425
-599.340, 489.235
-602.306, 493.254
-604.930, 497.503
-607.129, 501.987
-608.816, 506.687
-609.903, 511.562
-610.301, 516.539
-609.918, 521.517
-608.715, 526.355
-606.713, 530.918
-604.004, 535.108
-600.682, 538.835
-596.859, 542.045
-592.653, 544.734
-588.168, 546.930
-583.489, 548.674
-578.675, 550.003
-573.773, 550.956
-568.816, 551.574
-563.832, 551.896
-558.837, 551.964
-553.844, 551.820
-548.858, 551.508
-543.883, 551.059
-538.921, 550.487
-533.974, 549.794
-529.045, 548.982
-524.137, 548.053
-519.252, 547.007
-514.394, 545.846
-509.563, 544.571
-504.763, 543.189
-499.993, 541.706
-495.253, 540.130
-490.543, 538.466
-485.864, 536.716
-481.218, 534.880
-476.606, 532.960
-472.030, 530.957
-467.490, 528.874
-462.986, 526.712
-458.519, 524.476
-454.088, 522.170
-449.691, 519.799
-445.327, 517.368
-440.996, 514.878
-436.698, 512.333
-432.433, 509.732
-428.201, 507.078
-424.002, 504.372
-419.836, 501.615
-415.703, 498.810
-411.600, 495.960
-407.527, 493.068
-403.481, 490.138
-399.460, 487.174
-395.462, 484.178
-391.486, 481.155
-387.529, 478.105
-383.592, 475.031
-379.672, 471.935
-375.768, 468.818
-371.880, 465.681
-368.006, 462.528
-364.145, 459.358
-360.295, 456.174
-356.457, 452.977
-352.629, 449.767
-348.810, 446.548
-344.998, 443.319
-341.193, 440.082
-337.394, 436.838
-333.600, 433.589
-329.809, 430.336
-326.020, 427.079
-322.233, 423.822
-318.446, 420.564
-314.659, 417.307
-310.869, 414.052
-307.077, 410.800
-303.280, 407.553
-299.479, 404.313
-295.671, 401.079
-291.856, 397.854
-288.032, 394.639
-284.200, 391.435
-280.356, 388.244
-276.496, 385.074
-272.601, 381.946
-268.657, 378.881
-264.651, 375.895
-260.579, 373.003
-256.431, 370.219
-252.201, 367.561
-247.886, 365.045
-243.480, 362.691
-238.978, 360.526
-234.377, 358.582
-229.677, 356.893
-224.883, 355.491
-220.007, 354.406
-215.067, 353.672
-210.085, 353.318
-205.092, 353.364
-200.121, 353.835
-195.211, 354.749
-190.409, 356.117
-185.763, 357.946
-181.329, 360.243
-177.176, 363.014
-173.387, 366.265
-170.051, 369.977
-167.221, 374.088
-164.895, 378.506
-163.053, 383.147
-161.671, 387.945
-160.720, 392.848
-160.173, 397.813
-160.009, 402.805
-160.214, 407.795
-160.772, 412.758
-161.646, 417.677
-162.791, 422.539
-164.167, 427.341
-165.740, 432.082
-167.486, 436.762
-169.380, 441.384
-171.402, 445.952
-173.529, 450.472
-175.739, 454.952
-178.013, 459.400
-180.330, 463.826
-182.672, 468.239
-185.021, 472.648
-187.358, 477.063
-189.665, 481.494
-191.923, 485.950
-194.112, 490.440
-196.209, 494.973
-198.189, 499.560
-200.024, 504.205
-201.687, 508.916
-203.149, 513.692
-204.381, 518.532
-205.353, 523.432
-206.036, 528.379
-206.417, 533.358
-206.505, 538.352
-206.320, 543.344
-205.883, 548.320
-205.209, 553.269
-204.320, 558.184
-203.240, 563.061
-201.993, 567.898
-200.599, 572.695
-199.069, 577.450
-197.414, 582.164
-195.644, 586.835
-193.769, 591.466
-191.799, 596.057
-189.745, 600.611
-187.614, 605.129
-185.415, 609.614
-183.157, 614.070
-180.862, 618.507
-178.551, 622.936
-176.239, 627.364
-173.929, 631.793
-171.621, 636.223
-169.313, 640.654
-167.005, 645.084
-164.698, 649.515
-162.391, 653.946
-160.083, 658.376
-157.774, 662.806
-155.463, 667.235
-153.148, 671.662
-150.829, 676.086
-148.505, 680.508
-146.174, 684.926
-143.835, 689.340
-141.487, 693.750
-139.130, 698.154
-136.764, 702.553
-134.387, 706.947
-132.001, 711.336
-129.605, 715.719
-127.198, 720.097
-124.782, 724.469
-122.356, 728.836
-119.919, 733.197
-117.472, 737.552
-115.014, 741.900
-112.544, 746.243
-110.063, 750.578
-107.570, 754.907
-105.065, 759.230
-102.548, 763.545
-100.018, 767.852
-97.476, 772.152
-94.921, 776.445
-92.352, 780.729
-89.770, 785.006
-87.174, 789.273
-84.563, 793.532
-81.938, 797.783
-79.299, 802.024
-76.644, 806.255
-73.974, 810.477
-71.288, 814.689
-68.586, 818.891
-65.869, 823.083
-63.134, 827.263
-60.382, 831.433
-57.612, 835.590
-54.822, 839.733
-52.012, 843.863
-49.180, 847.978
-46.325, 852.078
-43.447, 856.161
-40.546, 860.227
-37.620, 864.277
-34.671, 868.309
-31.698, 872.323
-28.700, 876.319
-25.677, 880.296
-22.633, 884.257
-19.584, 888.213
-16.558, 892.187
-13.577, 896.195
-10.650, 900.245
-7.786, 904.338
-4.993, 908.480
-2.278, 912.675
0.350, 916.923
2.882, 921.228
5.300, 925.599
7.575, 930.046
9.675, 934.579
11.569, 939.202
13.207, 943.919
14.554, 948.728
15.606, 953.611
16.348, 958.550
16.791, 963.526
16.964, 968.518
16.893, 973.512
16.603, 978.499
16.124, 983.470
15.477, 988.423
14.679, 993.353
13.742, 998.260
12.682, 1003.141
11.511, 1007.998
10.245, 1012.830
8.898, 1017.640
7.483, 1022.431
6.014, 1027.206
4.505, 1031.968
2.967, 1036.721
1.415, 1041.469
-0.141, 1046.216
-1.688, 1050.966
-3.215, 1055.723
-4.709, 1060.490
-6.159, 1065.270
-7.553, 1070.068
-8.878, 1074.884
-10.123, 1079.722
-11.274, 1084.583
-12.320, 1089.468
-13.247, 1094.376
-14.041, 1099.308
-14.687, 1104.261
-15.165, 1109.234
-15.458, 1114.220
-15.548, 1119.214
-15.416, 1124.208
-15.047, 1129.189
-14.420, 1134.145
-13.497, 1139.053
-12.245, 1143.889
-10.684, 1148.634
-8.822, 1153.268
-6.644, 1157.762
-4.136, 1162.081
-1.289, 1166.184
1.898, 1170.027
5.430, 1173.557
9.290, 1176.725
13.434, 1179.511
17.814, 1181.911
22.384, 1183.925
27.104, 1185.556
31.937, 1186.814
36.850, 1187.709
41.815, 1188.255
46.805, 1188.463
51.798, 1188.347
56.775, 1187.919
61.716, 1187.188
66.605, 1186.168
71.431, 1184.880
76.188, 1183.355
80.873, 1181.625
85.488, 1179.712
90.028, 1177.629
94.491, 1175.385
98.874, 1172.990
103.177, 1170.452
107.397, 1167.780
111.535, 1164.980
115.589, 1162.062
119.564, 1159.036
123.461, 1155.911
127.285, 1152.697
131.039, 1149.402
134.730, 1146.035
138.363, 1142.607
141.949, 1139.129
145.490, 1135.606
148.992, 1132.043
152.457, 1128.444
155.888, 1124.814
159.290, 1121.156
162.665, 1117.473
166.018, 1113.770
169.353, 1110.051
172.673, 1106.318
175.983, 1102.577
179.287, 1098.830
182.588, 1095.081
185.892, 1091.334
189.201, 1087.591
192.514, 1083.853
195.832, 1080.119
199.155, 1076.388
202.481, 1072.662
205.812, 1068.938
209.144, 1065.217
212.472, 1061.491
215.766, 1057.736
218.977, 1053.909
222.066, 1049.983
225.008, 1045.946
227.779, 1041.790
230.351, 1037.508
232.692, 1033.096
234.769, 1028.553
236.541, 1023.884
237.957, 1019.093
238.938, 1014.197
239.416, 1009.231
239.413, 1004.243
238.996, 999.266
238.198, 994.330
237.105, 989.454
235.813, 984.624
234.409, 979.829
233.025, 975.034
231.805, 970.190
230.836, 965.292
230.131, 960.347
229.664, 955.374
229.407, 950.386
229.336, 945.392
229.432, 940.397
229.687, 935.408
230.087, 930.429
230.623, 925.462
231.284, 920.510
232.062, 915.575
232.953, 910.659
233.953, 905.765
235.046, 900.891
236.205, 896.032
237.396, 891.181
238.593, 886.331
239.794, 881.482
241.025, 876.641
242.316, 871.815
243.686, 867.011
245.147, 862.234
246.715, 857.491
248.402, 852.789
250.223, 848.137
252.192, 843.546
254.326, 839.029
256.640, 834.603
259.148, 830.283
261.868, 826.093
264.817, 822.062
268.011, 818.221
271.458, 814.606
275.156, 811.250
279.097, 808.185
283.268, 805.441
287.640, 803.028
292.173, 800.931
296.828, 799.117
301.565, 797.532
306.355, 796.123
311.187, 794.857
316.050, 793.712
320.933, 792.655
325.828, 791.656
330.728, 790.682
335.627, 789.700
340.517, 788.677
345.391, 787.579
350.239, 786.374
355.050, 785.030
359.810, 783.516
364.499, 781.794
369.090, 779.823
373.544, 777.563
377.821, 774.986
381.885, 772.083
385.696, 768.857
389.212, 765.313
392.390, 761.465
395.208, 757.344
397.657, 752.990
399.738, 748.449
401.460, 743.760
402.837, 738.959
403.895, 734.078
404.663, 729.142
405.172, 724.173
405.447, 719.185
405.512, 714.191
405.389, 709.197
405.097, 704.210
404.658, 699.234
404.088, 694.271
403.406, 689.322
402.633, 684.387
401.787, 679.463
400.882, 674.551
399.928, 669.647
398.938, 664.751
397.922, 659.860
396.892, 654.971
395.858, 650.084
394.834, 645.195
393.829, 640.301
392.855, 635.402
391.925, 630.494
391.049, 625.576
390.240, 620.646
389.509, 615.705
388.869, 610.751
388.331, 605.785
387.912, 600.807
387.631, 595.820
387.509, 590.826
387.563, 585.831
387.809, 580.842
388.257, 575.867
388.921, 570.916
389.810, 566.001
390.925, 561.132
392.252, 556.317
393.772, 551.558
395.468, 546.860
397.327, 542.223
399.330, 537.647
401.460, 533.129
403.699, 528.663
406.030, 524.245
408.437, 519.868
410.904, 515.524
413.415, 511.205
415.957, 506.905
418.520, 502.617
421.092, 498.335
423.663, 494.051
426.221, 489.760
428.754, 485.455
431.251, 481.128
433.701, 476.774
436.089, 472.387
438.403, 467.959
440.629, 463.488
442.753, 458.966
444.761, 454.393
446.635, 449.762
448.351, 445.071
449.882, 440.316
451.201, 435.499
452.287, 430.623
453.118, 425.698
453.677, 420.735
453.949, 415.747
453.933, 410.753
453.637, 405.767
453.070, 400.804
452.240, 395.879
451.158, 391.003
449.834, 386.186
448.282, 381.438
446.517, 376.765
444.553, 372.173
442.407, 367.662
440.097, 363.233
437.642, 358.883
435.055, 354.609
432.350, 350.410
429.535, 346.283
426.623, 342.224
423.623, 338.230
420.544, 334.296
417.396, 330.417
414.187, 326.589
410.925, 322.806
407.616, 319.064
404.268, 315.356
400.887, 311.678
397.481, 308.024
394.060, 304.384
390.636, 300.747
387.210, 297.111
383.785, 293.475
380.359, 289.839
376.933, 286.203
373.507, 282.568
370.082, 278.932
366.656, 275.296
363.230, 271.661
359.804, 268.025
356.378, 264.389
352.953, 260.753
349.527, 257.117
346.102, 253.481
342.677, 249.845
339.252, 246.208
335.827, 242.572
332.402, 238.935
328.978, 235.298
325.554, 231.660
322.130, 228.022
318.707, 224.384
315.284, 220.746
311.861, 217.107
308.439, 213.468
305.018, 209.828
301.596, 206.188
298.176, 202.548
294.755, 198.907
291.336, 195.265
287.917, 191.623
284.498, 187.981
281.080, 184.338
