# x_m,y_m
2.437700,2.740951
6.288697,-0.447378
10.020122,-3.775149
13.673243,-7.188841
17.287595,-10.643565
20.889301,-14.111480
24.486355,-17.584262
28.079657,-21.060941
31.669283,-24.541414
35.255318,-28.025588
38.837845,-31.513368
42.416949,-35.004662
45.992714,-38.499374
49.565226,-41.997412
53.134569,-45.498684
56.700830,-49.003095
60.264093,-52.510554
63.824445,-56.020968
67.381972,-59.534245
70.936760,-63.050293
74.488895,-66.569021
78.038465,-70.090337
81.585557,-73.614149
85.130257,-77.140367
88.672653,-80.668900
92.212833,-84.199657
95.750884,-87.732547
99.286893,-91.267479
102.820950,-94.804365
106.353142,-98.343112
109.883557,-101.883633
113.412284,-105.425835
116.939411,-108.969631
120.465028,-112.514929
123.989222,-116.061642
127.512083,-119.609678
131.033700,-123.158950
134.554162,-126.709367
138.073558,-130.260841
141.591977,-133.813282
145.109509,-137.366602
148.626243,-140.920712
152.142269,-144.475522
155.657676,-148.030945
159.172553,-151.586890
162.686991,-155.143271
166.201079,-158.699997
169.714906,-162.256981
173.228563,-165.814133
176.742139,-169.371365
180.255723,-172.928589
183.769406,-176.485715
187.283277,-180.042655
190.797425,-183.599321
194.311942,-187.155624
197.826915,-190.711475
201.342435,-194.266785
204.858592,-197.821467
208.375474,-201.375430
211.893171,-204.928586
215.411774,-208.480846
218.931370,-212.032121
222.452050,-215.582322
225.973902,-219.131361
229.497015,-222.679147
233.021479,-226.225591
236.547383,-229.770604
240.074814,-233.314097
243.603863,-236.855979
247.134617,-240.396161
250.667164,-243.934554
254.201594,-247.471066
257.737994,-251.005609
261.276452,-254.538090
264.817056,-258.068421
268.359894,-261.596511
271.905052,-265.122268
275.452619,-268.645602
279.002682,-272.166421
282.555327,-275.684634
286.110642,-279.200150
289.668712,-282.712877
293.229624,-286.222723
296.793464,-289.729596
300.360318,-293.233403
303.930272,-296.734052
307.503410,-300.231450
311.079820,-303.725505
314.659991,-307.215676
318.248576,-310.697101
321.863678,-314.150959
325.536623,-317.543288
329.295896,-320.839595
333.165033,-324.006043
337.162897,-327.008070
341.304155,-329.808661
345.603213,-332.359678
350.101326,-334.537891
354.809629,-336.213426
359.662539,-337.409010
364.611021,-338.107347
369.606709,-338.245064
374.576750,-337.751696
