# x_m,y_m
0.682068,3.731537
-4.153911,4.978092
-9.035559,6.032293
-13.948086,6.932331
-18.879970,7.719947
-23.823786,8.429099
-28.774335,9.089741
-33.727378,9.731393
-38.679015,10.383674
-43.625139,11.076289
-48.560897,11.838982
-53.480141,12.701471
-58.374727,13.694052
-63.233689,14.848249
-68.042702,16.195068
-72.783583,17.764530
-77.433587,19.585269
-81.964738,21.683981
-86.343194,24.084649
-90.528638,26.807573
-94.473721,29.868003
-98.123895,33.274234
-101.419903,37.023636
-104.308559,41.094951
-106.751822,45.448140
-108.711846,50.039257
-110.147965,54.820104
-111.015940,59.736022
-111.274214,64.720275
-110.919641,69.697861
-110.009336,74.606185
-108.613396,79.399858
-106.794339,84.048428
-104.594969,88.530556
-102.049605,92.826519
-99.190393,96.920629
-96.046580,100.800654
-92.645444,104.457096
-89.015124,107.886359
-85.184574,111.090534
-81.180186,114.074539
-77.025092,116.845134
-72.740094,119.410270
-68.343498,121.778940
-63.851400,123.961334
-59.278325,125.968627
-54.637134,127.812988
-49.939070,129.507365
-45.193978,131.065285
-40.410393,132.500756
-35.595687,133.828166
-30.756154,135.062201
-25.897264,136.217799
-21.023762,137.310006
-16.139421,138.352897
-11.247451,139.359252
-6.350815,140.341932
-1.451969,141.313713
3.447364,142.283627
8.346564,143.254294
13.245581,144.225854
18.144438,145.198229
23.043147,146.171339
27.941726,147.145103
32.840191,148.119451
37.738537,149.094391
42.636748,150.070005
47.534809,151.046379
52.432703,152.023592
57.330411,153.001731
62.227919,153.980876
67.125208,154.961112
72.022262,155.942522
76.919065,156.925189
81.815598,157.909196
86.711845,158.894626
91.607788,159.881561
96.503411,160.870086
101.398696,161.860283
106.293626,162.852234
111.188183,163.846024
116.082350,164.841734
120.976109,165.839448
125.869441,166.839248
130.762329,167.841217
135.654757,168.845436
140.546700,169.852014
145.438118,170.861134
150.328966,171.873015
155.219200,172.887873
160.108765,173.905920
164.997632,174.927358
169.886333,175.949039
174.779313,176.948381
179.686133,177.878258
184.612923,178.698538
189.561162,179.377276
194.530413,179.878384
199.516668,180.161000
204.510954,180.182999
209.496511,179.902692
214.450352,179.278954
219.343051,178.272499
224.121897,176.827120
228.717900,174.881682
233.074274,172.443627
237.142241,169.552182
240.876263,166.240620
244.218720,162.534417
247.098241,158.458122
249.431752,154.046536
251.136401,149.357092
252.193895,144.480329
252.663360,139.510849
252.608827,134.518163
252.086206,129.552508
251.150840,124.647198
249.855345,119.824321
248.248673,115.095732
246.377324,110.465232
244.285860,105.929745
242.016378,101.480492
239.608573,97.104729
237.098411,92.787353
234.523243,88.508306
231.911851,84.250948
229.273099,80.010443
226.609968,75.785223
223.925484,71.573569
221.223567,67.373049
218.508624,63.180918
215.785009,58.994425
213.057051,54.810763
210.329083,50.627114
207.605445,46.440653
204.890501,42.248559
202.188649,38.048029
199.504330,33.836284
196.842048,29.610581
194.206341,25.368274
191.601722,21.106836
189.032761,16.823843
186.504160,12.516939
184.020912,8.183740
181.588382,3.821872
179.212150,-0.570898
176.897913,-4.996606
174.651455,-9.457127
172.478774,-13.953861
170.385824,-18.488142
168.381504,-23.062574
166.478908,-27.680372
164.692670,-32.344453
163.038384,-37.057155
161.531582,-41.818685
160.176631,-46.625439
158.961942,-51.469919
157.872202,-56.343918
156.894225,-61.241488
156.015493,-66.157915
155.225212,-71.089214
154.516866,-76.033018
153.886388,-80.987482
153.329547,-85.950760
152.842050,-90.921347
152.419556,-95.897900
152.057699,-100.879240
151.752093,-105.864354
151.498357,-110.852390
151.292116,-115.842621
151.129011,-120.834449
151.005361,-125.827421
150.919049,-130.821085
150.867534,-135.815094
150.843390,-140.809345
150.835114,-145.803743
150.834546,-150.798169
150.839500,-155.792594
150.850535,-160.787012
150.872030,-165.781374
150.922316,-170.775417
151.030793,-175.768389
151.221286,-180.759047
151.506250,-185.745490
151.894337,-190.725108
152.395792,-195.694505
153.021110,-200.649520
153.783824,-205.585212
154.704062,-210.494001
155.804250,-215.365486
157.105680,-220.187163
158.629298,-224.943163
160.394349,-229.614926
162.411999,-234.183424
164.686644,-238.628596
167.227654,-242.926525
170.048911,-247.046485
173.150449,-250.960160
176.514202,-254.651248
180.115637,-258.110746
183.931677,-261.331694
187.941278,-264.308113
192.124580,-267.034364
196.465279,-269.502271
200.949533,-271.699218
205.562662,-273.610827
210.288894,-275.222313
215.111497,-276.517866
220.011238,-277.481954
224.965683,-278.104652
229.951116,-278.381735
234.943824,-278.311468
239.919152,-277.890233
244.850367,-277.109351
249.704790,-275.941826
254.438650,-274.355425
258.998167,-272.323092
263.330374,-269.843539
267.390065,-266.937915
271.149029,-263.650865
274.600663,-260.042683
277.748424,-256.166308
280.609977,-252.073515
283.215196,-247.813179
285.591991,-243.421152
287.761164,-238.922623
289.744385,-234.339012
291.565163,-229.688370
293.247973,-224.986012
294.817219,-220.244689
296.296729,-215.474697
297.711715,-210.685017
299.081013,-205.881965
300.411549,-201.068043
301.706474,-196.244415
302.968446,-191.412060
304.199937,-186.571847
305.403434,-181.724598
306.581434,-176.871088
307.736444,-172.012056
308.870982,-167.148201
309.987575,-162.280195
311.088755,-157.408680
312.177065,-152.534272
313.255050,-147.657570
314.325261,-142.779156
315.390252,-137.899599
316.452578,-133.019461
317.514796,-128.139300
318.579464,-123.259672
319.649136,-118.381140
320.726366,-113.504270
321.813704,-108.629645
322.913696,-103.757860
324.028880,-98.889531
325.161793,-94.025297
326.314915,-89.165815
327.490645,-84.311754
328.691353,-79.463811
329.919402,-74.622723
331.177141,-69.789264
332.466909,-64.964255
333.791028,-60.148558
335.152074,-55.343187
336.555688,-50.550157
338.018222,-45.774814
339.566669,-41.026533
341.224854,-36.315432
343.016489,-31.653549
344.964853,-27.055050
347.092380,-22.536774
349.419907,-18.118373
351.967506,-13.823214
354.756843,-9.681145
357.808714,-5.728738
361.139785,-2.008821
364.761753,1.428067
368.676373,4.527160
372.865215,7.242997
377.300507,9.531996
381.954590,11.336820
386.774767,12.636735
391.702311,13.439411
396.684675,13.762552
401.675967,13.630917
406.637740,13.072236
411.538406,12.115054
416.352077,10.787644
421.057932,9.117532
425.639354,7.131299
430.083487,4.854179
434.380463,2.310003
438.522736,-0.478005
442.504112,-3.491250
446.312265,-6.721995
449.929201,-10.166379
453.341703,-13.813234
456.548693,-17.640876
459.555327,-21.627725
462.361489,-25.758695
464.963332,-30.021285
467.357291,-34.403989
469.540164,-38.895580
471.508759,-43.485149
473.259980,-48.161989
474.790768,-52.915555
476.098097,-57.735374
477.178959,-62.610983
478.030373,-67.531840
478.649379,-72.487296
479.032932,-77.466516
479.177855,-82.458375
479.080877,-87.451390
478.738664,-92.433600
478.147847,-97.392467
477.305070,-102.314770
476.207047,-107.186469
474.850642,-111.992652
473.233341,-116.717341
471.358537,-121.345484
469.251082,-125.872620
466.948679,-130.304178
464.486860,-134.649204
461.895980,-138.918725
459.200647,-143.123442
456.422711,-147.274202
453.583217,-151.383178
450.702677,-155.463548
447.801320,-159.529150
444.899041,-163.593984
442.016123,-167.672501
439.175667,-171.780667
436.403617,-175.935161
433.726772,-180.151786
431.173694,-184.444379
428.773653,-188.823864
426.550125,-193.295408
424.528190,-197.861542
422.744355,-202.525731
421.241529,-207.287799
420.055638,-212.138161
419.195147,-217.056795
418.651673,-222.020701
418.414859,-227.008748
418.474050,-232.002089
418.818400,-236.983912
419.435721,-241.939262
420.311760,-246.855432
421.433665,-251.721538
422.791462,-256.527355
424.376292,-261.263228
426.178961,-265.920561
428.189436,-270.492083
430.397661,-274.971465
432.793831,-279.353211
435.368450,-283.632571
438.112359,-287.805431
441.016747,-291.868256
444.073152,-295.818012
447.273449,-299.652125
450.609866,-303.368422
454.074967,-306.965043
457.661544,-310.440535
461.362571,-313.793910
465.171253,-317.024503
469.081170,-320.131811
473.087481,-323.113530
477.189430,-325.962133
481.384498,-328.672271
485.666754,-331.242616
490.031349,-333.670517
494.474314,-335.951540
498.991912,-338.080579
503.581699,-340.049596
508.239996,-341.848553
512.965021,-343.464505
