# x_m,y_m,z
-0.815373,-4.171075,-0.0815373
4.088303,-5.131397,0.4088303
8.993053,-6.08622,0.8993053
13.897839,-7.040865,1.3897839
18.802562,-7.995828,1.8802562
23.707226,-8.9511,2.3707226
28.61183,-9.906673,2.861183
33.516378,-10.862539,3.3516378
38.42087,-11.818688,3.842087
43.325309,-12.775113,4.3325309
48.229696,-13.731805,4.8229696
53.134032,-14.688755,5.3134032
58.038319,-15.645955,5.8038319
62.942559,-16.603396,6.2942559
67.846754,-17.56107,6.7846754
72.750905,-18.518968,7.2750905
77.655014,-19.477083,7.7655014
82.559083,-20.435404,8.2559083
87.463112,-21.393924,8.7463112
92.367105,-22.352635,9.2367105
97.271061,-23.311527,9.7271061
102.174984,-24.270593,10.2174984
107.078875,-25.229823,10.7078875
111.982735,-26.18921,11.1982735
116.886566,-27.148744,11.6886566
121.79037,-28.108418,12.179037
126.694149,-29.068222,12.6694149
131.597903,-30.028149,13.1597903
136.501635,-30.988189,13.6501635
141.405347,-31.948335,14.1405347
146.30904,-32.908577,14.630904
151.212715,-33.868907,15.1212715
156.116375,-34.829318,15.6116375
161.02002,-35.789799,16.102002
165.923654,-36.750343,16.5923654
170.827277,-37.710942,17.0827277
175.730891,-38.671586,17.5730891
180.634497,-39.632267,18.0634497
185.538098,-40.592977,18.5538098
190.441696,-41.553707,19.0441696
195.34529,-42.514449,19.534529
200.248885,-43.475194,20.0248885
205.15248,-44.435934,20.515248
210.056078,-45.39666,21.0056078
214.95968,-46.357364,21.495968
219.863288,-47.318037,21.9863288
224.766904,-48.27867,22.4766904
229.67053,-49.239256,22.967053
234.574166,-50.199785,23.4574166
239.477815,-51.16025,23.9477815
244.381479,-52.120641,24.4381479
249.285158,-53.08095,24.9285158
254.188856,-54.041166,25.4188856
259.092576,-55.00127,25.9092576
263.996321,-55.961243,26.3996321
268.900096,-56.921065,26.8900096
273.803904,-57.880716,27.3803904
278.70775,-58.840177,27.870775
283.611636,-59.799429,28.3611636
288.515568,-60.758452,28.8515568
293.419548,-61.717226,29.3419548
298.32358,-62.675733,29.832358
303.227668,-63.633951,30.3227668
308.131817,-64.591863,30.8131817
313.036067,-65.549255,31.3036067
317.941016,-66.503051,31.7941016
322.849855,-67.436506,32.2849855
327.768947,-68.314107,32.7768947
332.702289,-69.107587,33.2702289
337.651441,-69.795471,33.7651441
342.61663,-70.355659,34.261663
347.596569,-70.763681,34.7596569
352.58795,-70.990569,35.258795
357.584352,-71.006254,35.7584352
362.575565,-70.780936,36.2575565
367.547067,-70.285315,36.7547067
372.479556,-69.491417,37.2479556
377.348362,-68.372451,37.7348362
382.118747,-66.889712,38.2118747
386.741226,-64.996441,38.6741226
391.174913,-62.695569,39.1174913
395.394627,-60.022003,39.5394627
399.387497,-57.01977,39.9387497
403.148977,-53.731953,40.3148977
406.681882,-50.199398,40.6681882
409.996368,-46.461095,40.9996368
413.107465,-42.551934,41.3107465
416.033016,-38.501847,41.6033016
418.791379,-34.336025,41.8791379
421.403376,-30.077093,42.1403376
423.889886,-25.743451,42.3889886
426.268615,-21.349394,42.6268615
428.556134,-16.906992,42.8556134
430.768915,-12.426714,43.0768915
432.923378,-7.917962,43.2923378
435.035888,-3.389296,43.5035888
437.122742,1.151314,43.7122742
439.200169,5.69627,43.9200169
441.284338,10.238121,44.1284338
443.391372,14.769364,44.3391372
445.53735,19.282211,44.553735
447.738271,23.76838,44.7738271
450.010365,28.21878,45.0010365
452.370665,32.622887,45.2370665
454.836649,36.968514,45.4836649
457.426286,41.241483,45.7426286
460.157988,45.424945,46.0157988
463.049181,49.499539,46.3049181
466.116005,53.443396,46.6116005
469.37481,57.230243,46.937481
472.840872,60.827621,47.2840872
476.525555,64.20203,47.6525555
480.447544,67.297494,48.0447544
484.62433,70.038167,48.462433
489.02587,72.402819,48.902587
493.609556,74.385811,49.3609556
498.354231,75.944712,49.8354231
503.228043,77.034392,50.3228043
508.191401,77.595308,50.8191401
513.184837,77.549459,51.3184837
518.123557,76.820975,51.8123557
522.916569,75.41872,52.2916569
527.499394,73.439416,52.7499394
531.846913,70.974214,53.1846913
535.891252,68.054967,53.5891252
539.573248,64.687044,53.9573248
542.909684,60.954923,54.2909684
545.85005,56.924509,54.585005
548.383847,52.623166,54.8383847
550.583366,48.129787,55.0583366
552.455791,43.499873,55.2455791
553.986344,38.745802,55.3986344
555.209857,33.900102,55.5209857
556.170848,28.99702,55.6170848
556.898447,24.053925,55.6898447
557.419748,19.084459,55.7419748
557.763519,14.099604,55.7763519
557.95861,9.106562,55.795861
558.034211,4.110262,55.8034211
558.018753,-0.886647,55.8018753
557.9385,-5.882824,55.79385
557.818489,-10.877792,55.7818489
557.689395,-15.872591,55.7689395
557.571504,-20.868005,55.7571504
557.447494,-25.863114,55.7447494
557.273911,-30.856381,55.7273911
557.0139,-35.846199,55.70139
556.648671,-40.830014,55.6648671
556.166026,-45.803965,55.6166026
555.551295,-50.763425,55.5551295
554.788243,-55.701921,55.4788243
553.859912,-60.61172,55.3859912
552.746417,-65.4829,55.2746417
551.427245,-70.30165,55.1427245
549.882766,-75.051545,54.9882766
548.087476,-79.715058,54.8087476
546.009772,-84.260613,54.6009772
543.608947,-88.637374,54.3608947
540.898235,-92.832181,54.0898235
537.939142,-96.859807,53.7939142
534.77732,-100.727772,53.477732
531.434886,-104.440043,53.1434886
527.923849,-107.994901,52.7923849
524.255145,-111.387571,52.4255145
520.440608,-114.615374,52.0440608
516.491862,-117.677655,51.6491862
512.420285,-120.574495,51.2420285
508.237232,-123.307209,50.8237232
503.956531,-125.884008,50.3956531
499.595017,-128.321883,49.9595017
495.165585,-130.634247,49.5165585
490.675116,-132.825942,49.0675116
486.128285,-134.898184,48.6128285
481.529491,-136.852216,48.1529491
476.882895,-138.689781,47.6882895
472.192521,-140.412543,47.2192521
467.462309,-142.022479,46.7462309
462.696335,-143.523398,46.2696335
457.898901,-144.920718,45.7898901
453.074029,-146.220145,45.3074029
448.225275,-147.42743,44.8225275
443.355877,-148.548434,44.3355877
438.46881,-149.589409,43.846881
433.566134,-150.554497,43.3566134
428.649206,-151.444384,42.8649206
423.719205,-152.257815,42.3719205
418.777504,-152.997176,41.8777504
413.826177,-153.670652,41.3826177
408.867664,-154.288378,40.8867664
403.903614,-154.858138,40.3903614
398.934622,-155.3833,39.8934622
393.961145,-155.865094,39.3961145
388.983758,-156.304805,38.8983758
384.002927,-156.703805,38.4002927
379.019083,-157.063469,37.9019083
374.032635,-157.385202,37.4032635
369.043952,-157.670421,36.9043952
364.053378,-157.920554,36.4053378
359.061225,-158.137033,35.9061225
354.067769,-158.321289,35.4067769
349.073263,-158.474747,34.9073263
344.077938,-158.598752,34.4077938
339.081981,-158.694166,33.9081981
334.085554,-158.761148,33.4085554
