# x_m, y_m
-3.575, 0.266
-3.211, 5.251
-2.839, 10.235
-2.461, 15.218
-2.077, 20.201
-1.686, 25.183
-1.289, 30.165
-0.886, 35.147
-0.477, 40.128
-0.063, 45.108
0.357, 50.088
0.783, 55.068
1.214, 60.047
1.649, 65.025
2.090, 70.004
2.535, 74.981
2.985, 79.959
3.440, 84.936
3.898, 89.913
4.361, 94.889
4.828, 99.865
5.298, 104.840
5.772, 109.815
6.250, 114.790
6.731, 119.765
7.215, 124.739
7.702, 129.713
8.192, 134.686
8.685, 139.660
9.180, 144.633
9.677, 149.606
10.177, 154.578
10.679, 159.551
11.184, 164.523
11.690, 169.495
12.198, 174.467
12.708, 179.438
13.220, 184.410
13.733, 189.381
14.248, 194.352
14.764, 199.323
15.282, 204.294
15.800, 209.265
16.320, 214.235
16.841, 219.206
17.363, 224.176
17.885, 229.146
18.409, 234.117
18.932, 239.087
19.457, 244.057
19.982, 249.027
20.507, 253.997
21.032, 258.967
21.558, 263.937
22.083, 268.907
22.608, 273.877
23.134, 278.847
23.659, 283.817
24.185, 288.787
24.711, 293.757
25.238, 298.727
25.765, 303.697
26.293, 308.666
26.823, 313.636
27.353, 318.605
27.884, 323.575
28.416, 328.544
28.948, 333.513
29.478, 338.483
30.007, 343.452
30.534, 348.422
31.058, 353.392
31.579, 358.363
32.095, 363.334
32.607, 368.305
33.115, 373.277
33.620, 378.249
34.120, 383.222
34.617, 388.195
35.110, 393.168
35.600, 398.142
36.088, 403.116
36.573, 408.090
37.056, 413.064
37.537, 418.039
38.015, 423.013
38.492, 427.988
38.966, 432.963
39.439, 437.939
39.910, 442.914
40.379, 447.890
40.846, 452.866
41.312, 457.841
41.776, 462.818
42.239, 467.794
42.700, 472.770
43.159, 477.747
43.617, 482.723
44.073, 487.700
44.528, 492.677
44.981, 497.654
45.433, 502.632
45.883, 507.609
46.332, 512.586
46.779, 517.564
47.225, 522.542
47.669, 527.520
48.112, 532.498
48.553, 537.476
48.993, 542.454
49.431, 547.433
49.868, 552.411
50.303, 557.390
50.737, 562.369
51.170, 567.348
51.601, 572.327
52.031, 577.306
52.460, 582.285
52.887, 587.265
53.313, 592.244
53.738, 597.224
54.162, 602.204
54.584, 607.183
55.006, 612.163
55.426, 617.143
55.845, 622.123
56.263, 627.104
56.680, 632.084
57.095, 637.064
57.510, 642.045
57.923, 647.025
58.336, 652.006
58.748, 656.987
59.158, 661.967
59.568, 666.948
59.976, 671.929
60.384, 676.910
60.791, 681.891
61.197, 686.873
61.602, 691.854
62.006, 696.835
62.409, 701.817
62.811, 706.798
63.213, 711.780
63.614, 716.761
64.013, 721.743
64.413, 726.725
64.811, 731.706
65.208, 736.688
65.605, 741.670
66.001, 746.652
66.397, 751.634
66.792, 756.616
67.186, 761.598
67.579, 766.581
67.972, 771.563
68.364, 776.545
68.756, 781.527
69.147, 786.510
69.538, 791.492
69.928, 796.475
70.317, 801.457
70.707, 806.440
71.095, 811.422
71.483, 816.405
71.871, 821.388
72.259, 826.370
72.646, 831.353
73.032, 836.336
73.419, 841.318
73.805, 846.301
74.191, 851.284
74.576, 856.267
74.961, 861.250
75.346, 866.232
75.731, 871.215
76.116, 876.198
76.500, 881.181
76.888, 886.164
77.311, 891.143
77.865, 896.109
78.659, 901.043
79.813, 905.904
81.446, 910.626
83.668, 915.099
86.600, 919.138
90.274, 922.522
94.551, 925.074
99.135, 927.051
103.863, 928.676
108.627, 930.205
113.312, 931.950
117.776, 934.188
121.818, 937.082
125.126, 940.808
127.506, 945.205
128.951, 949.985
129.580, 954.940
129.551, 959.936
129.015, 964.903
128.096, 969.815
126.914, 974.670
125.592, 979.489
124.238, 984.299
122.887, 989.111
121.545, 993.925
120.216, 998.743
118.900, 1003.564
117.600, 1008.390
116.322, 1013.221
115.068, 1018.059
113.843, 1022.905
112.651, 1027.758
111.497, 1032.621
110.382, 1037.492
109.311, 1042.374
108.280, 1047.264
107.290, 1052.163
106.343, 1057.070
105.439, 1061.985
104.580, 1066.908
103.766, 1071.839
102.999, 1076.778
102.278, 1081.723
101.605, 1086.675
100.980, 1091.634
100.404, 1096.598
99.873, 1101.568
99.390, 1106.542
98.958, 1111.521
98.583, 1116.504
98.265, 1121.492
98.000, 1126.483
97.782, 1131.475
97.609, 1136.470
97.478, 1141.466
97.391, 1146.463
97.350, 1151.461
97.357, 1156.458
97.414, 1161.456
97.521, 1166.452
97.680, 1171.447
97.889, 1176.441
98.149, 1181.432
98.459, 1186.420
98.821, 1191.404
99.235, 1196.385
99.703, 1201.360
100.226, 1206.331
100.803, 1211.295
101.433, 1216.253
102.115, 1221.204
102.848, 1226.147
103.633, 1231.083
104.474, 1236.009
105.374, 1240.925
106.339, 1245.829
107.372, 1250.719
108.473, 1255.593
109.638, 1260.453
110.863, 1265.299
112.147, 1270.128
113.495, 1274.941
114.906, 1279.735
116.384, 1284.509
117.930, 1289.262
119.544, 1293.992
121.228, 1298.697
122.980, 1303.378
124.797, 1308.033
126.680, 1312.663
128.626, 1317.266
130.636, 1321.842
132.710, 1326.389
134.848, 1330.906
137.051, 1335.392
139.318, 1339.845
141.649, 1344.266
144.044, 1348.653
146.502, 1353.004
149.023, 1357.319
151.611, 1361.595
154.267, 1365.828
156.990, 1370.019
159.779, 1374.166
162.633, 1378.268
165.555, 1382.323
168.545, 1386.328
171.602, 1390.281
174.727, 1394.181
177.917, 1398.029
181.171, 1401.821
184.489, 1405.559
187.869, 1409.240
191.310, 1412.864
194.811, 1416.430
198.371, 1419.938
201.988, 1423.387
205.661, 1426.776
209.387, 1430.107
213.165, 1433.379
216.992, 1436.592
220.868, 1439.748
224.790, 1442.845
228.756, 1445.886
232.766, 1448.869
236.816, 1451.796
240.907, 1454.667
245.037, 1457.481
249.204, 1460.240
253.409, 1462.942
257.648, 1465.588
261.922, 1468.178
266.230, 1470.712
270.570, 1473.190
274.941, 1475.613
279.342, 1477.981
283.772, 1480.295
288.227, 1482.559
292.708, 1484.773
297.212, 1486.938
301.739, 1489.055
306.290, 1491.122
310.863, 1493.137
315.459, 1495.100
320.077, 1497.010
324.717, 1498.869
329.376, 1500.677
334.053, 1502.437
338.748, 1504.151
343.458, 1505.821
348.184, 1507.445
352.926, 1509.026
357.681, 1510.562
362.451, 1512.054
367.234, 1513.503
372.030, 1514.908
376.839, 1516.271
381.659, 1517.590
386.491, 1518.867
391.334, 1520.101
396.187, 1521.293
401.051, 1522.444
405.924, 1523.553
410.805, 1524.623
415.696, 1525.653
420.594, 1526.647
425.499, 1527.604
430.411, 1528.526
435.329, 1529.413
440.254, 1530.265
445.184, 1531.084
450.119, 1531.871
455.060, 1532.625
460.005, 1533.348
464.954, 1534.041
469.908, 1534.704
474.865, 1535.339
479.825, 1535.946
484.789, 1536.526
489.756, 1537.081
494.726, 1537.610
499.698, 1538.115
504.673, 1538.595
509.649, 1539.052
514.628, 1539.485
519.609, 1539.896
524.591, 1540.285
529.576, 1540.652
534.561, 1540.999
539.548, 1541.326
544.536, 1541.634
549.526, 1541.923
554.516, 1542.195
559.507, 1542.450
564.499, 1542.689
569.492, 1542.912
574.485, 1543.120
579.479, 1543.315
584.474, 1543.496
589.469, 1543.664
594.464, 1543.821
599.459, 1543.967
604.455, 1544.102
609.451, 1544.227
614.448, 1544.344
619.444, 1544.453
624.441, 1544.554
629.438, 1544.648
634.435, 1544.736
639.432, 1544.820
644.429, 1544.898
649.426, 1544.973
654.423, 1545.045
659.420, 1545.114
664.417, 1545.182
669.415, 1545.249
674.412, 1545.316
679.409, 1545.383
684.406, 1545.451
689.404, 1545.519
694.401, 1545.589
699.398, 1545.660
704.395, 1545.734
709.392, 1545.813
714.389, 1545.898
719.386, 1545.989
724.383, 1546.088
729.379, 1546.196
734.376, 1546.314
739.372, 1546.442
744.368, 1546.581
749.363, 1546.732
754.358, 1546.895
759.352, 1547.072
764.347, 1547.264
769.340, 1547.470
774.332, 1547.696
779.322, 1547.972
784.304, 1548.369
789.268, 1548.946
794.200, 1549.753
799.077, 1550.842
803.866, 1552.268
808.520, 1554.086
812.970, 1556.355
817.131, 1559.128
820.894, 1562.405
824.230, 1566.100
827.333, 1570.031
830.295, 1574.056
833.172, 1578.148
836.038, 1582.250
838.977, 1586.298
842.069, 1590.217
845.453, 1593.867
849.252, 1597.117
853.384, 1599.934
857.750, 1602.361
862.281, 1604.465
866.933, 1606.295
871.673, 1607.889
876.471, 1609.290
881.309, 1610.539
886.171, 1611.692
891.037, 1612.827
895.897, 1613.996
900.745, 1615.207
905.584, 1616.459
910.412, 1617.750
915.229, 1619.080
920.037, 1620.446
924.835, 1621.845
929.623, 1623.275
934.403, 1624.735
939.174, 1626.222
943.938, 1627.734
948.694, 1629.269
953.444, 1630.823
958.187, 1632.397
962.925, 1633.987
967.658, 1635.593
972.386, 1637.212
977.110, 1638.844
981.829, 1640.488
986.546, 1642.140
991.260, 1643.801
995.971, 1645.469
1000.680, 1647.141
1005.388, 1648.818
1010.095, 1650.497
1014.802, 1652.178
1019.509, 1653.858
1024.217, 1655.536
1028.925, 1657.210
1033.636, 1658.880
1038.348, 1660.544
1043.064, 1662.201
1047.782, 1663.848
1052.504, 1665.485
1057.230, 1667.111
1061.961, 1668.722
1066.696, 1670.320
1071.437, 1671.901
1076.185, 1673.462
1080.942, 1674.995
1085.713, 1676.480
1090.503, 1677.905
1095.314, 1679.261
1100.146, 1680.538
1105.000, 1681.726
1109.878, 1682.814
1114.779, 1683.792
1119.703, 1684.649
1124.647, 1685.374
1129.611, 1685.954
1134.591, 1686.371
1139.583, 1686.603
1144.581, 1686.626
1149.574, 1686.419
1154.551, 1685.969
1159.500, 1685.274
1164.407, 1684.331
1169.257, 1683.129
1174.033, 1681.659
1178.712, 1679.907
1183.271, 1677.861
1187.683, 1675.517
1191.923, 1672.873
1195.962, 1669.933
1199.785, 1666.716
1203.386, 1663.252
1206.767, 1659.573
1209.931, 1655.705
1212.877, 1651.668
1215.609, 1647.484
1218.130, 1643.169
1220.443, 1638.738
1222.542, 1634.204
1224.428, 1629.576
1226.123, 1624.874
1227.654, 1620.117
1229.040, 1615.316
1230.290, 1610.477
1231.415, 1605.608
1232.425, 1600.713
1233.331, 1595.798
1234.144, 1590.867
1234.874, 1585.923
1235.534, 1580.969
1236.135, 1576.008
1236.686, 1571.040
1237.199, 1566.069
1237.685, 1561.095
1238.159, 1556.120
1238.631, 1551.145
1239.103, 1546.169
1239.575, 1541.194
1240.047, 1536.219
1240.519, 1531.243
1240.992, 1526.268
1241.465, 1521.293
1241.938, 1516.318
1242.412, 1511.342
1242.887, 1506.367
1243.362, 1501.392
1243.838, 1496.417
1244.316, 1491.443
1244.794, 1486.468
1245.274, 1481.493
1245.755, 1476.519
1246.238, 1471.544
1246.722, 1466.570
1247.208, 1461.596
1247.696, 1456.622
1248.186, 1451.649
1248.677, 1446.675
1249.168, 1441.702
1249.640, 1436.727
1250.056, 1431.747
1250.382, 1426.760
1250.597, 1421.767
1250.687, 1416.769
1250.637, 1411.771
1250.429, 1406.777
1250.048, 1401.794
1249.475, 1396.830
1248.685, 1391.896
1247.649, 1387.007
1246.337, 1382.186
1244.723, 1377.457
1242.784, 1372.850
1240.500, 1368.410
1237.879, 1364.159
1234.972, 1360.092
1231.828, 1356.209
1228.475, 1352.505
1224.940, 1348.972
1221.251, 1345.601
1217.433, 1342.377
1213.504, 1339.288
1209.478, 1336.326
1205.368, 1333.481
1201.184, 1330.747
1196.933, 1328.119
1192.626, 1325.585
1188.281, 1323.116
1183.919, 1320.676
1179.552, 1318.247
1175.181, 1315.825
1170.806, 1313.408
1166.428, 1310.998
1162.047, 1308.593
1157.663, 1306.193
1153.277, 1303.798
1148.888, 1301.406
1144.498, 1299.019
1140.106, 1296.635
1135.712, 1294.253
1131.316, 1291.875
1126.920, 1289.499
1122.522, 1287.124
1118.123, 1284.751
1113.724, 1282.379
1109.325, 1280.008
1104.925, 1277.638
1100.526, 1275.267
1096.126, 1272.896
1091.727, 1270.524
1087.329, 1268.151
1082.931, 1265.777
1078.535, 1263.400
1074.139, 1261.021
1069.746, 1258.640
1065.354, 1256.255
1060.963, 1253.867
1056.575, 1251.475
1052.189, 1249.079
1047.806, 1246.679
1043.425, 1244.273
1039.048, 1241.862
1034.673, 1239.445
1030.302, 1237.022
1025.935, 1234.592
1021.572, 1232.155
1017.212, 1229.711
1012.857, 1227.259
1008.507, 1224.800
1004.161, 1222.331
999.821, 1219.854
995.485, 1217.368
991.156, 1214.872
986.832, 1212.366
982.513, 1209.850
978.201, 1207.323
973.896, 1204.786
969.597, 1202.237
965.305, 1199.677
961.020, 1197.104
956.743, 1194.520
952.473, 1191.922
948.212, 1189.311
943.960, 1186.685
939.717, 1184.042
935.488, 1181.379
931.278, 1178.687
927.084, 1175.968
922.901, 1173.234
918.724, 1170.490
914.554, 1167.735
910.394, 1164.966
906.243, 1162.182
902.104, 1159.381
897.979, 1156.560
893.871, 1153.714
889.778, 1150.845
885.695, 1147.963
881.618, 1145.073
877.548, 1142.173
873.487, 1139.260
869.438, 1136.330
865.403, 1133.382
861.381, 1130.415
857.372, 1127.431
853.374, 1124.433
849.384, 1121.423
845.402, 1118.402
841.427, 1115.373
837.460, 1112.334
833.499, 1109.286
829.546, 1106.229
825.599, 1103.162
821.660, 1100.087
817.727, 1097.003
813.801, 1093.911
809.881, 1090.810
805.968, 1087.701
802.062, 1084.584
798.161, 1081.459
794.268, 1078.326
790.380, 1075.186
786.499, 1072.037
782.623, 1068.882
778.754, 1065.719
774.890, 1062.549
771.032, 1059.372
767.180, 1056.188
763.334, 1052.997
759.492, 1049.800
755.656, 1046.596
751.826, 1043.386
748.000, 1040.170
744.180, 1036.949
740.364, 1033.721
736.553, 1030.488
732.747, 1027.249
728.945, 1024.005
725.148, 1020.756
721.355, 1017.501
717.567, 1014.241
713.783, 1010.977
710.003, 1007.707
706.228, 1004.432
702.457, 1001.152
698.689, 997.869
694.925, 994.582
691.163, 991.292
687.403, 987.999
683.645, 984.704
679.889, 981.408
676.133, 978.110
672.378, 974.813
668.623, 971.515
664.868, 968.217
661.113, 964.919
657.358, 961.621
653.603, 958.323
649.848, 955.025
646.092, 951.727
642.337, 948.429
638.582, 945.131
634.827, 941.833
631.072, 938.535
627.317, 935.238
623.562, 931.940
619.806, 928.642
616.051, 925.344
612.296, 922.046
608.541, 918.748
604.786, 915.451
601.030, 912.153
597.275, 908.855
593.520, 905.557
589.765, 902.260
586.009, 898.962
582.254, 895.664
578.499, 892.367
574.743, 889.069
570.988, 885.771
567.233, 882.474
563.477, 879.176
559.722, 875.879
555.967, 872.581
552.211, 869.284
548.456, 865.986
544.700, 862.689
540.945, 859.391
537.189, 856.094
533.434, 852.796
529.678, 849.499
525.923, 846.201
522.167, 842.904
518.411, 839.607
514.656, 836.310
510.900, 833.012
507.144, 829.715
503.389, 826.418
499.633, 823.121
495.877, 819.823
492.121, 816.526
488.366, 813.229
484.610, 809.932
480.854, 806.635
477.098, 803.338
473.342, 800.041
469.587, 796.744
465.831, 793.447
462.075, 790.149
458.319, 786.852
454.563, 783.555
450.807, 780.258
447.052, 776.961
443.303, 773.656
439.578, 770.324
435.906, 766.935
432.309, 763.466
428.797, 759.910
425.377, 756.264
422.058, 752.527
418.852, 748.692
415.771, 744.757
412.830, 740.716
410.046, 736.568
407.432, 732.309
405.015, 727.935
402.834, 723.441
400.933, 718.820
399.371, 714.076
398.163, 709.228
