# x_m, y_m
-0.831, 3.610
-5.675, 2.383
-10.519, 1.156
-15.362, -0.072
-20.206, -1.300
-25.049, -2.530
-29.892, -3.760
-34.735, -4.990
-39.578, -6.222
-44.420, -7.453
-49.263, -8.685
-54.105, -9.917
-58.948, -11.149
-63.790, -12.382
-68.633, -13.614
-73.475, -14.847
-78.318, -16.079
-83.160, -17.311
-88.003, -18.544
-92.846, -19.775
-97.688, -21.007
-102.531, -22.238
-107.374, -23.468
-112.217, -24.698
-117.060, -25.927
-121.904, -27.156
-126.748, -28.384
-131.591, -29.611
-136.435, -30.837
-141.280, -32.062
-146.124, -33.286
-150.969, -34.508
-155.815, -35.730
-160.660, -36.950
-165.506, -38.169
-170.352, -39.387
-175.199, -40.603
-180.046, -41.817
-184.893, -43.030
-189.741, -44.242
-194.589, -45.451
-199.438, -46.659
-204.287, -47.864
-209.137, -49.068
-213.987, -50.270
-218.838, -51.469
-223.689, -52.666
-228.541, -53.862
-233.393, -55.054
-238.246, -56.245
-243.100, -57.432
-247.954, -58.618
-252.809, -59.800
-257.664, -60.980
-262.521, -62.158
-267.377, -63.332
-272.235, -64.504
-277.093, -65.672
-281.952, -66.838
-286.812, -68.000
-291.673, -69.159
-296.534, -70.315
-301.396, -71.468
-306.259, -72.617
-311.123, -73.763
-315.987, -74.905
-320.853, -76.044
-325.719, -77.178
-330.586, -78.310
-335.454, -79.437
-340.323, -80.560
-345.193, -81.680
-350.063, -82.795
-354.935, -83.907
-359.808, -85.014
-364.681, -86.116
-369.556, -87.215
-374.432, -88.309
-379.308, -89.399
-384.186, -90.484
-389.064, -91.564
-393.944, -92.640
-398.825, -93.711
-403.706, -94.777
-408.589, -95.838
-413.474, -96.893
-418.360, -97.938
-423.250, -98.967
-428.143, -99.979
-433.041, -100.969
-437.944, -101.929
-442.855, -102.853
-447.774, -103.733
-452.702, -104.561
-457.639, -105.330
-462.586, -106.032
-467.543, -106.660
-472.510, -107.207
-477.486, -107.664
-482.469, -108.025
-487.460, -108.282
-492.454, -108.427
-497.451, -108.453
-502.447, -108.351
-507.438, -108.121
-512.422, -107.765
-517.396, -107.288
-522.356, -106.687
-527.299, -105.955
-532.219, -105.082
-537.108, -104.052
-541.959, -102.853
-546.760, -101.472
-551.504, -99.903
-556.181, -98.144
-560.780, -96.192
-565.291, -94.043
-569.697, -91.687
-573.981, -89.116
-578.127, -86.328
-582.120, -83.325
-585.945, -80.110
-589.585, -76.688
-593.025, -73.065
-596.246, -69.245
-599.231, -65.239
-601.971, -61.062
-604.457, -56.728
-606.681, -52.254
-608.636, -47.656
-610.317, -42.952
-611.718, -38.156
-612.833, -33.286
-613.650, -28.357
-614.161, -23.387
-614.354, -18.395
-614.221, -13.401
-613.756, -8.427
-612.951, -3.496
-611.800, 1.365
-610.298, 6.130
-608.441, 10.767
-606.225, 15.244
-603.648, 19.524
-600.710, 23.564
-597.411, 27.314
-593.762, 30.725
-589.799, 33.765
-585.560, 36.407
-581.086, 38.628
-576.415, 40.398
-571.591, 41.692
-566.660, 42.482
-561.672, 42.740
-556.687, 42.437
-551.774, 41.544
-547.013, 40.037
-542.504, 37.894
-538.367, 35.101
-534.748, 31.663
-531.795, 27.642
-529.601, 23.160
-528.167, 18.377
-527.352, 13.450
-526.998, 8.467
-526.997, 3.471
-527.233, -1.520
-527.580, -6.505
-527.918, -11.490
-528.144, -16.482
-528.153, -21.478
-527.821, -26.462
-527.002, -31.389
-525.548, -36.165
-523.328, -40.634
