# x_m,y_m
1.953875,3.022448
6.213606,0.406992
10.544673,-2.088515
14.948321,-4.453535
19.424470,-6.678264
23.965068,-8.768472
28.548805,-10.762522
33.155207,-12.703741
37.770218,-14.624437
42.381982,-16.552909
46.977830,-18.518955
51.544190,-20.552456
56.066141,-22.682753
60.527015,-24.937987
64.911061,-27.339062
69.210378,-29.888708
73.414675,-32.592128
77.517329,-35.447510
81.529271,-38.429134
85.462602,-41.513803
89.330718,-44.679924
93.145495,-47.910162
96.919164,-51.188359
100.664433,-54.498989
104.394294,-57.826982
108.121886,-61.157519
111.860390,-64.475796
115.622972,-67.766728
119.422510,-71.014894
123.271310,-74.204496
127.180963,-77.319157
131.162139,-80.341798
135.224396,-83.254481
139.375977,-86.038274
143.623594,-88.673092
147.972191,-91.137545
152.424710,-93.408699
156.981793,-95.461768
161.640559,-97.272053
166.391200,-98.825401
171.215554,-100.132377
176.094048,-101.220524
181.010597,-102.121846
185.953023,-102.868920
190.912412,-103.494045
195.882557,-104.027458
200.859273,-104.496070
205.839531,-104.925616
210.820913,-105.342048
215.801216,-105.771095
220.778040,-106.238562
225.748434,-106.769739
230.708550,-107.389079
235.653294,-108.120602
240.575608,-108.990008
245.465262,-110.027085
250.309650,-111.258260
255.099873,-112.685897
259.830903,-114.299008
264.498185,-116.088218
269.098105,-118.044183
273.627766,-120.157812
278.084964,-122.420256
282.468643,-124.822093
286.780132,-127.351308
291.022939,-129.994173
295.201516,-132.737501
299.321114,-135.568670
303.387799,-138.475364
307.408313,-141.445623
311.390108,-144.467613
315.341638,-147.529089
319.272008,-150.617688
323.188146,-153.724325
327.092105,-156.846268
330.983701,-159.983604
334.866188,-163.132208
338.746281,-166.283763
342.626701,-169.434916
346.507766,-172.585274
350.389486,-175.734825
354.271870,-178.883557
358.154930,-182.031456
362.038674,-185.178510
365.923114,-188.324706
369.808259,-191.470031
373.694119,-194.614472
377.580704,-197.758017
381.468025,-200.900653
385.356091,-204.042367
389.244912,-207.183146
393.134498,-210.322977
397.024860,-213.461847
400.916006,-216.599744
404.807948,-219.736655
408.700695,-222.872567
412.594257,-226.007467
416.488644,-229.141342
420.383865,-232.274179
424.279932,-235.405966
428.176853,-238.536689
432.074637,-241.666337
435.973288,-244.794906
439.872803,-247.922397
443.773180,-251.048814
447.674417,-254.174158
451.576512,-257.298430
455.479463,-260.421632
459.383268,-263.543766
463.287926,-266.664836
467.193435,-269.784838
471.099791,-272.903781
475.004641,-276.024622
478.889273,-279.170534
482.704613,-282.400067
486.395764,-285.770742
489.905295,-289.329827
493.159377,-293.123490
496.084659,-297.175196
498.604391,-301.489058
500.626258,-306.052850
502.049527,-310.836115
502.704187,-315.787492
502.474971,-320.780850
501.571925,-325.700178
500.337434,-330.542783
499.082323,-335.377329
498.181009,-340.286046
498.032722,-345.272300
498.966782,-350.176477
500.932974,-354.765379
503.665923,-358.946782
506.984658,-362.679495
510.773519,-365.935173
514.927421,-368.710812
519.354529,-371.027883
523.970696,-372.942290
528.708577,-374.532594
533.523219,-375.873800
