# x_m, y_m
-195.810, -326.937
-200.636, -328.229
-205.463, -329.521
-210.289, -330.814
-215.115, -332.106
-219.942, -333.398
-224.768, -334.690
-229.594, -335.982
-234.421, -337.274
-239.247, -338.566
-244.073, -339.858
-248.899, -341.150
-253.726, -342.442
-258.552, -343.735
-263.378, -345.027
-268.204, -346.319
-273.031, -347.612
-277.857, -348.904
-282.683, -350.197
-287.509, -351.490
-292.335, -352.783
-297.161, -354.076
-301.987, -355.369
-306.813, -356.662
-311.639, -357.956
-316.465, -359.249
-321.291, -360.543
-326.117, -361.837
-330.942, -363.132
-335.768, -364.426
-340.593, -365.721
-345.419, -367.016
-350.244, -368.311
-355.070, -369.607
-359.895, -370.903
-364.720, -372.199
-369.545, -373.495
-374.370, -374.792
-379.195, -376.089
-384.020, -377.386
-388.845, -378.684
-393.670, -379.982
-398.494, -381.281
-403.319, -382.579
-408.143, -383.879
-412.968, -385.178
-417.792, -386.478
-422.616, -387.779
-427.440, -389.080
-432.264, -390.381
-437.087, -391.683
-441.911, -392.985
-446.734, -394.287
-451.558, -395.591
-456.381, -396.894
-461.204, -398.198
-466.027, -399.503
-470.849, -400.808
-475.672, -402.114
-480.495, -403.420
-485.317, -404.727
-490.139, -406.035
-494.961, -407.343
-499.783, -408.651
-504.605, -409.960
-509.426, -411.270
-514.247, -412.581
-519.069, -413.892
-523.890, -415.203
-528.710, -416.516
-533.531, -417.829
-538.352, -419.143
-543.172, -420.457
-547.992, -421.772
-552.812, -423.088
-557.631, -424.405
-562.451, -425.722
-567.270, -427.040
-572.090, -428.356
-576.917, -429.646
-581.764, -430.854
-586.645, -431.916
-591.565, -432.793
-596.516, -433.467
-601.493, -433.921
-606.485, -434.135
-611.481, -434.088
-616.464, -433.754
-621.416, -433.104
-626.312, -432.099
-631.105, -430.711
-635.722, -428.840
-640.105, -426.438
-644.239, -423.626
-648.126, -420.492
-651.779, -417.084
-655.214, -413.455
-658.454, -409.651
-661.523, -405.707
-664.447, -401.654
-667.250, -397.519
-669.966, -393.326
-672.648, -389.112
-675.338, -384.901
-678.042, -380.700
-680.758, -376.506
-683.484, -372.319
-686.219, -368.138
-688.959, -363.960
-691.702, -359.784
-694.447, -355.610
-697.193, -351.436
-699.941, -347.263
-702.689, -343.091
-705.439, -338.919
-708.190, -334.748
-710.941, -330.578
-713.694, -326.408
-716.447, -322.239
-719.199, -318.069
-721.952, -313.899
-724.703, -309.729
-727.454, -305.558
-730.203, -301.386
-732.949, -297.212
-735.694, -293.037
-738.435, -288.860
-741.174, -284.681
-743.908, -280.500
-746.639, -276.316
-749.365, -272.129
-752.087, -267.939
-754.803, -263.746
-757.513, -259.548
-760.217, -255.347
-762.914, -251.141
-765.604, -246.931
-768.286, -242.715
-770.960, -238.495
-773.625, -234.269
-776.281, -230.037
-778.927, -225.799
-781.563, -221.555
-784.189, -217.304
-786.804, -213.046
-789.408, -208.783
-792.002, -204.513
-794.587, -200.237
-797.159, -195.954
-799.711, -191.658
-802.233, -187.345
-804.720, -183.012
-807.179, -178.663
-809.616, -174.301
-812.039, -169.932
-814.449, -165.555
-816.848, -161.173
-819.237, -156.785
-821.617, -152.392
-823.986, -147.993
-826.345, -143.588
-828.693, -139.178
-831.029, -134.762
-833.355, -130.340
-835.668, -125.911
-837.971, -121.478
-840.265, -117.039
-842.550, -112.596
-844.828, -108.149
-847.099, -103.699
-849.366, -99.247
-851.629, -94.792
-853.888, -90.336
-856.144, -85.878
-858.398, -81.419
-860.650, -76.959
-862.901, -72.498
-865.151, -68.037
-867.400, -63.576
-869.651, -59.115
-871.902, -54.655
-874.154, -50.195
-876.409, -45.737
-878.666, -41.279
-880.926, -36.823
-883.190, -32.370
-885.459, -27.918
-887.733, -23.469
-890.013, -19.023
-892.299, -14.581
-894.594, -10.143
-896.896, -5.709
-899.208, -1.280
-901.529, 3.145
-903.861, 7.563
-906.204, 11.976
-908.559, 16.383
-910.927, 20.782
-913.308, 25.175
-915.702, 29.560
-918.111, 33.937
-920.533, 38.307
-922.969, 42.669
-925.420, 47.023
-927.885, 51.369
-930.366, 55.706
-932.863, 60.033
-935.380, 64.349
-937.918, 68.653
-940.479, 72.943
-943.064, 77.218
-945.677, 81.477
-948.320, 85.717
-950.996, 89.936
-953.710, 94.130
-956.461, 98.301
-959.243, 102.451
-962.050, 106.585
-964.876, 110.705
-967.723, 114.811
-970.592, 118.901
-973.483, 122.976
-976.399, 127.033
-979.341, 131.071
-982.309, 135.090
-985.305, 139.088
-988.334, 143.062
-991.397, 147.009
-994.499, 150.926
-997.639, 154.812
-1000.817, 158.668
-1004.030, 162.493
-1007.276, 166.291
-1010.553, 170.063
-1013.859, 173.809
-1017.190, 177.533
-1020.544, 181.236
-1023.919, 184.920
-1027.314, 188.586
-1030.726, 192.235
-1034.156, 195.868
-1037.601, 199.487
-1041.061, 203.091
-1044.536, 206.681
-1048.024, 210.258
-1051.524, 213.824
-1055.036, 217.377
-1058.558, 220.921
-1062.090, 224.454
-1065.632, 227.979
-1069.181, 231.495
-1072.738, 235.004
-1076.301, 238.507
-1079.869, 242.003
-1083.442, 245.496
-1087.019, 248.984
-1090.599, 252.469
-1094.181, 255.953
-1097.763, 259.436
-1101.346, 262.918
-1104.928, 266.401
-1108.508, 269.886
-1112.085, 273.374
-1115.659, 276.865
-1119.229, 280.361
-1122.793, 283.862
-1126.351, 287.370
-1129.900, 290.886
-1133.426, 294.424
-1136.883, 298.030
-1140.204, 301.763
-1143.309, 305.677
-1146.104, 309.819
-1148.470, 314.220
-1150.279, 318.870
-1151.394, 323.745
-1151.650, 328.741
-1150.875, 333.657
-1149.101, 338.289
-1146.388, 342.457
-1142.886, 346.038
-1138.851, 348.979
-1134.447, 351.332
-1129.805, 353.186
-1125.018, 354.622
-1120.143, 355.717
-1115.220, 356.556
-1110.274, 357.254
-1105.318, 357.890
-1100.356, 358.477
-1095.389, 359.013
-1090.417, 359.498
-1085.439, 359.935
-1080.459, 360.330
-1075.475, 360.685
-1070.489, 361.002
-1065.500, 361.277
-1060.509, 361.509
-1055.517, 361.696
-1050.522, 361.841
-1045.527, 361.945
-1040.532, 362.012
-1035.535, 362.043
-1030.539, 362.041
-1025.543, 362.007
-1020.547, 361.943
-1015.552, 361.848
-1010.557, 361.722
-1005.563, 361.566
-1000.571, 361.380
-995.579, 361.162
-990.589, 360.914
-985.600, 360.635
-980.614, 360.325
-975.629, 359.984
-970.647, 359.612
-965.667, 359.209
-960.690, 358.775
-955.715, 358.310
-950.743, 357.818
-945.774, 357.299
-940.807, 356.757
-935.843, 356.193
-930.881, 355.609
-925.920, 355.008
-920.963, 354.388
-916.008, 353.745
-911.057, 353.073
-906.111, 352.371
-901.169, 351.639
-896.229, 350.885
-891.293, 350.112
-886.359, 349.325
-881.428, 348.522
-876.499, 347.706
-871.572, 346.877
-866.647, 346.034
-861.724, 345.180
-856.804, 344.315
-851.885, 343.439
-846.968, 342.553
-842.052, 341.657
-837.139, 340.754
-832.226, 339.842
-827.315, 338.922
-822.405, 337.997
-817.497, 337.065
-812.589, 336.127
-807.683, 335.185
-802.777, 334.239
-797.872, 333.289
-792.967, 332.336
-788.063, 331.380
-783.160, 330.423
-778.256, 329.464
-773.353, 328.505
-768.450, 327.546
-763.546, 326.587
-758.643, 325.629
-753.739, 324.673
-748.834, 323.719
-743.929, 322.769
-739.024, 321.821
-734.117, 320.878
-729.210, 319.940
-724.301, 319.007
-719.392, 318.080
-714.481, 317.159
-709.569, 316.246
-704.656, 315.340
-699.741, 314.442
-694.824, 313.554
-689.906, 312.675
-684.986, 311.805
-680.064, 310.946
-675.140, 310.098
-670.215, 309.260
-665.287, 308.433
-660.358, 307.619
-655.426, 306.817
-650.492, 306.032
-645.555, 305.268
-640.614, 304.526
-635.669, 303.806
-630.723, 303.106
-625.774, 302.421
-620.822, 301.752
-615.869, 301.102
-610.912, 300.471
-605.953, 299.862
-600.991, 299.277
-596.027, 298.718
-591.059, 298.186
-586.088, 297.682
-581.114, 297.207
-576.138, 296.760
-571.159, 296.342
-566.178, 295.952
-561.195, 295.587
-556.211, 295.247
-551.225, 294.929
-546.237, 294.631
-541.249, 294.352
-536.259, 294.089
-531.269, 293.840
-526.279, 293.604
-521.288, 293.378
-516.296, 293.162
-511.304, 292.955
-506.312, 292.756
-501.319, 292.563
-496.326, 292.377
-491.333, 292.197
-486.340, 292.020
-481.347, 291.847
-476.354, 291.675
-471.360, 291.503
-466.367, 291.331
-461.374, 291.156
-456.381, 290.978
-451.388, 290.795
-446.395, 290.605
-441.403, 290.409
-436.411, 290.203
-431.419, 289.988
-426.428, 289.758
-421.440, 289.493
-416.456, 289.151
-411.481, 288.688
