# x_m,y_m,w_tr_right_m,w_tr_left_m
471.018725,-512.064273,4.237,4.237
485.909382,-520.786888,4.031,4.031
496.894729,-528.955971,4.003,4.003
511.409701,-543.448317,4.129,4.129
523.441877,-559.417235,4.081,4.081
529.933296,-573.375334,4.102,4.102
533.885352,-588.157557,4.146,4.146
535.679725,-602.840739,4.104,4.104
535.293663,-617.782480,4.104,4.104
533.113712,-629.617355,4.153,4.153
527.707835,-648.311770,4.082,4.082
510.559502,-690.961036,4.026,4.026
483.080620,-758.258429,3.955,3.955
446.451363,-843.663577,5.742,5.742
441.874393,-853.451287,5.543,5.543
437.304029,-860.447904,5.559,5.559
429.896672,-866.620058,5.518,5.518
423.930714,-870.504932,5.454,5.454
415.181462,-872.751560,5.599,5.599
386.930216,-875.385827,5.551,5.551
362.232671,-877.973499,5.749,5.749
331.314791,-881.415535,5.629,5.629
312.918074,-881.417800,5.624,5.624
302.913274,-880.194786,5.600,5.600
272.758243,-868.439554,4.772,4.772
225.939199,-849.234800,3.848,3.848
207.511948,-842.181926,3.947,3.947
186.956772,-832.921668,3.994,3.994
172.825864,-823.080007,3.968,3.968
158.103679,-811.408049,4.189,4.189
145.195609,-797.058286,4.021,4.021
133.530883,-783.107662,4.004,4.004
101.615472,-743.531622,4.018,4.018
95.427979,-733.568148,4.024,4.024
93.252915,-725.020921,4.112,4.112
93.911527,-714.218409,4.152,4.152
96.757880,-675.648816,4.013,4.013
98.885509,-662.395413,4.063,4.063
105.533833,-636.759546,3.957,3.957
120.839245,-583.982533,3.961,3.961
131.450822,-543.614875,3.948,3.948
137.585345,-520.124461,3.698,3.698
138.973273,-507.660114,3.875,3.875
137.260047,-497.674757,3.804,3.804
132.701290,-488.300163,3.994,3.994
125.329848,-480.736549,4.126,4.126
118.340869,-475.829379,4.043,4.043
101.148074,-469.028033,4.143,4.143
50.440791,-448.117911,3.964,3.964
-51.813938,-407.644245,3.965,3.965
-155.195888,-365.602318,3.893,3.893
-237.209720,-332.882389,4.624,4.624
-251.514184,-326.539919,5.114,5.114
-267.016597,-312.546106,5.076,5.076
-277.144962,-292.965035,4.965,4.965
-281.915773,-276.899833,4.959,4.959
-284.168442,-258.600164,5.021,5.021
-283.256538,-246.036555,5.256,5.256
-275.749638,-207.712611,5.043,5.043
-265.827601,-182.556947,5.268,5.268
-247.940374,-150.781319,4.507,4.507
-234.487842,-131.636318,4.572,4.572
-219.383302,-116.082828,4.668,4.668
-206.422011,-104.612064,4.892,4.892
-178.240643,-84.152213,4.876,4.876
-154.426503,-70.239008,5.093,5.093
-125.691401,-55.641318,5.775,5.775
-92.291779,-39.966283,5.421,5.421
-17.824467,-7.812115,5.394,5.394
-0.371297,0.632074,5.262,5.262
72.067672,31.202218,5.491,5.491
94.389274,40.670451,5.993,5.993
128.429008,52.085607,5.020,5.020
158.894777,58.364787,5.085,5.085
182.819092,58.432047,5.444,5.444
203.310355,58.479190,5.304,5.304
214.219507,57.756957,5.034,5.034
225.148689,54.519738,4.810,4.810
238.305937,49.549798,4.876,4.876
249.851455,43.505052,5.377,5.377
259.134540,34.716744,5.492,5.492
268.310077,24.446646,5.440,5.440
274.448319,15.773530,5.433,5.433
279.383648,3.736042,5.402,5.402
285.542974,-16.658082,5.580,5.580
288.798337,-31.722529,5.660,5.660
290.599342,-55.780747,5.552,5.552
292.251762,-99.959234,5.412,5.412
292.599749,-123.197893,4.968,4.968
287.842223,-180.591146,4.782,4.782
282.994621,-230.630213,4.788,4.788
281.006315,-244.163622,4.681,4.681
276.034611,-256.137156,4.826,4.826
266.708616,-264.105975,5.517,5.517
255.075262,-270.373472,5.250,5.250
245.382165,-273.499422,5.062,5.062
233.592057,-270.663124,5.042,5.042
223.426649,-262.012460,4.948,4.948
217.357027,-250.736242,4.962,4.962
215.331645,-236.991263,4.884,4.884
215.244307,-215.428927,4.774,4.774
215.220978,-168.053331,5.367,5.367
214.727082,-133.147452,4.669,4.669
212.522431,-117.614709,4.641,4.641
204.891111,-95.681553,4.632,4.632
199.582636,-82.849854,4.653,4.653
194.648813,-69.797485,4.708,4.708
188.506284,-55.817688,4.691,4.691
181.799798,-47.951967,4.682,4.682
172.882716,-42.138891,4.687,4.687
162.930300,-39.040939,4.705,4.705
149.675690,-39.873446,4.652,4.652
97.333685,-52.010910,4.722,4.722
53.928842,-62.009158,4.591,4.591
36.874326,-65.983539,4.466,4.466
23.250720,-70.882356,4.651,4.651
-17.154299,-89.428070,4.386,4.386
-79.535997,-120.231322,4.469,4.469
-105.130301,-134.751444,4.489,4.489
-119.225385,-144.844060,4.614,4.614
-129.691947,-157.497859,4.493,4.493
-138.178835,-171.014303,4.636,4.636
-143.530796,-181.987754,4.458,4.458
-146.053335,-195.046432,4.596,4.596
-141.240574,-221.017722,6.065,6.065
-137.474034,-229.107318,5.829,5.829
-130.133565,-237.494916,4.940,4.940
-123.391463,-244.017657,4.632,4.632
-114.418530,-250.050505,4.582,4.582
-102.688367,-254.528168,4.372,4.372
-28.411915,-275.815274,4.094,4.094
50.522905,-296.653571,3.845,3.845
76.538648,-304.745135,3.864,3.864
89.091752,-309.121945,3.858,3.858
99.329352,-314.031352,3.938,3.938
131.079058,-330.506452,3.883,3.883
247.702263,-393.282592,3.925,3.925
297.169602,-418.841175,3.945,3.945
373.564345,-459.429029,4.707,4.707
409.084140,-477.819045,4.598,4.598
