# x_m,y_m,w_tr_right_m,w_tr_left_m
136.129658,-114.293434,6.377,6.377
-222.796975,181.982605,6.259,6.259
-313.788303,256.394987,6.086,6.086
-465.673919,382.160278,5.928,5.928
-468.141938,384.374342,6.177,6.177
-473.338599,392.497356,6.749,6.749
-477.436906,399.004953,7.307,7.307
-479.055448,402.966211,7.670,7.670
-479.423551,409.429573,7.960,7.960
-477.935858,415.424651,8.036,8.036
-475.031173,420.398416,8.059,8.059
-470.713249,423.579440,7.811,7.811
-465.708071,426.584428,7.541,7.541
-457.425710,428.054995,6.649,6.649
-449.731382,429.196268,6.017,6.017
-445.182654,430.024773,6.071,6.071
-439.513718,430.497555,6.192,6.192
-427.111973,430.453851,6.029,6.029
-415.618151,429.833571,5.880,5.880
-401.771463,428.808153,5.750,5.750
-388.886870,427.830481,5.663,5.663
-380.832597,426.940560,5.668,5.668
-370.530663,425.347716,5.589,5.589
-357.423832,422.237150,5.642,5.642
-343.701751,419.362607,5.571,5.571
-332.726300,416.227953,5.588,5.588
-324.341906,413.435528,5.644,5.644
-316.299099,410.174673,5.647,5.647
-308.620269,407.762876,5.675,5.675
-299.796761,403.263369,5.749,5.749
-288.021834,397.579608,5.706,5.706
-278.672667,391.382990,5.680,5.680
-267.448145,383.338982,5.691,5.691
-255.855767,374.535690,5.804,5.804
-227.805387,351.391159,5.469,5.469
-103.417638,248.434498,5.112,5.112
-95.554623,241.823146,5.259,5.259
-91.059988,238.999765,5.282,5.282
-87.092049,237.184201,5.284,5.284
-83.431458,235.216474,5.234,5.234
-78.973868,233.538832,5.174,5.174
-75.285147,232.308043,5.161,5.161
-71.061057,231.698276,5.299,5.299
-66.404543,231.934580,5.131,5.131
-62.559520,232.636315,5.225,5.225
-58.373461,234.066483,5.313,5.313
-52.825174,235.243525,5.242,5.242
-48.684798,236.753612,5.198,5.198
-45.169185,238.807851,5.107,5.107
-42.452191,239.982950,5.221,5.221
-38.980138,242.541336,5.216,5.216
-34.387692,245.727766,5.289,5.289
-30.738024,250.462188,5.367,5.367
-27.272658,257.140608,5.219,5.219
-24.711152,262.660582,5.222,5.222
-22.779038,269.038290,5.157,5.157
-21.282286,274.635627,5.244,5.244
-20.654177,281.163550,5.220,5.220
-20.533883,286.533484,5.223,5.223
-20.977939,292.694434,5.058,5.058
-22.286261,298.612232,5.124,5.124
-25.011100,306.596619,4.946,4.946
-68.094814,387.943870,5.065,5.065
-70.494410,392.760839,4.975,4.975
-72.285875,397.187602,4.896,4.896
-73.908036,400.821490,4.954,4.954
-75.601317,404.430383,5.150,5.150
-76.668324,408.428404,5.350,5.350
-77.336568,411.617800,5.621,5.621
-77.654867,413.343435,5.808,5.808
-77.707749,416.552049,5.897,5.897
-77.760738,419.195356,6.127,6.127
-77.466370,421.425396,6.359,6.359
-76.823883,424.924566,6.512,6.512
-75.557672,428.696327,6.485,6.485
-74.418170,432.778257,6.349,6.349
-72.673201,436.318032,6.009,6.009
-70.618668,440.856511,5.521,5.521
-18.941089,541.000025,5.010,5.010
69.614764,709.590976,5.248,5.248
76.373668,723.103279,5.205,5.205
83.322900,736.116131,5.177,5.177
90.541570,747.270952,5.174,5.174
98.275197,758.821993,5.263,5.263
107.236387,771.578205,5.274,5.274
117.285829,784.513204,5.190,5.190
129.834546,799.296420,5.054,5.054
133.131287,802.249622,5.113,5.113
146.822298,815.450194,5.112,5.112
149.659697,819.295041,4.985,4.985
152.915063,825.944754,5.051,5.051
154.012411,828.721234,5.007,5.007
154.725433,831.654516,5.013,5.013
155.341615,834.246516,4.923,4.923
155.598973,837.657660,4.955,4.955
155.686284,841.109383,4.942,4.942
155.426928,843.149598,5.011,5.011
155.289797,846.027333,4.922,4.922
154.925891,848.046767,4.762,4.762
154.401860,851.069097,4.727,4.727
153.892857,853.699638,4.795,4.795
153.188356,856.614048,4.895,4.895
118.021940,997.624773,4.332,4.332
115.412700,1008.827421,4.166,4.166
114.962736,1012.633796,4.161,4.161
