# x_m,y_m,w_tr_right_m,w_tr_left_m
43.384463,362.668957,5.408,5.408
57.283269,353.549444,6.891,6.891
102.176950,324.690862,5.562,5.562
116.314635,314.184851,5.476,5.476
126.757463,303.284897,5.379,5.379
134.913128,288.793349,5.480,5.480
139.817244,276.503194,5.524,5.524
142.488897,265.269299,5.600,5.600
143.462014,250.789288,5.664,5.664
141.918219,235.996009,5.159,5.159
138.665734,221.056921,5.722,5.722
129.508328,201.651575,5.561,5.561
11.454096,19.314154,5.871,5.871
-64.857243,-99.189930,5.810,5.810
-162.599341,-250.641572,5.891,5.891
-277.485101,-429.464218,5.913,5.913
-332.313418,-515.321964,6.059,6.059
-388.266370,-601.889583,6.102,6.102
-402.759156,-624.991758,5.890,5.890
-409.921861,-637.646585,6.597,6.597
-435.002940,-676.143735,5.908,5.908
-441.957928,-684.031285,5.801,5.801
-449.751603,-690.693442,5.783,5.783
-458.304098,-695.909870,5.649,5.649
-466.475991,-696.518933,5.613,5.613
-476.381434,-695.968453,5.549,5.549
-486.493421,-694.342684,4.929,4.929
-496.283635,-687.933486,5.402,5.402
-512.025708,-677.432107,5.360,5.360
-520.817613,-672.205056,5.316,5.316
-529.191857,-668.686474,5.271,5.271
-539.476042,-666.599651,5.233,5.233
-550.049195,-665.758132,5.243,5.243
-561.447930,-666.106686,5.209,5.209
-571.667910,-668.809640,5.177,5.177
-580.673516,-674.621772,5.222,5.222
-634.964948,-713.480458,5.318,5.318
-645.416318,-720.743203,5.286,5.286
-654.640077,-727.911145,5.423,5.423
-663.650347,-732.924494,5.379,5.379
-676.386195,-737.238096,5.306,5.306
-687.490460,-740.816087,5.290,5.290
-701.966688,-743.081304,5.269,5.269
-712.872800,-743.685533,5.268,5.268
-725.217584,-742.075561,5.269,5.269
-737.970674,-739.781426,5.274,5.274
-749.730491,-736.440795,5.290,5.290
-767.840195,-727.422046,5.259,5.259
-781.249424,-716.373978,5.304,5.304
-792.086555,-705.558584,5.369,5.369
-799.920417,-695.517989,5.352,5.352
-808.143989,-683.327908,5.354,5.354
-816.986667,-663.945686,5.356,5.356
-822.871894,-643.475532,5.339,5.339
-825.366236,-626.280747,5.309,5.309
-825.966445,-613.441679,5.327,5.327
-825.146596,-593.693905,5.379,5.379
-822.789933,-574.076707,5.376,5.376
-819.737541,-558.564063,5.398,5.398
-815.182893,-543.047785,5.541,5.541
-809.460140,-526.539813,5.727,5.727
-802.151247,-509.591791,5.751,5.751
-793.516460,-493.635035,5.663,5.663
-759.015178,-439.711820,5.655,5.655
-667.971687,-297.710475,5.395,5.395
-660.594696,-287.515558,5.441,5.441
-652.569516,-280.491844,5.493,5.493
-644.459757,-274.853499,5.377,5.377
-632.559218,-272.206392,5.357,5.357
-622.716458,-270.481600,5.464,5.464
-611.909852,-272.409779,5.391,5.391
-601.274084,-275.211579,5.402,5.402
-592.776279,-280.070606,5.429,5.429
-584.249446,-285.435853,5.358,5.358
-577.038915,-291.730209,5.339,5.339
-568.956156,-301.480411,5.350,5.350
-562.847148,-311.804298,5.314,5.314
-558.319825,-322.773093,5.314,5.314
-555.333562,-334.996896,5.281,5.281
-553.757826,-349.431464,5.251,5.251
-553.858163,-362.204269,5.225,5.225
-555.515647,-374.978863,5.302,5.302
-559.816846,-390.985920,5.463,5.463
-565.247420,-404.239662,5.624,5.624
-577.681030,-426.047588,5.602,5.602
-599.053662,-459.328046,5.503,5.503
-665.825148,-562.115538,5.121,5.121
-670.096669,-570.279836,5.226,5.226
-672.392326,-579.815447,5.169,5.169
-672.054506,-590.369939,5.187,5.187
-669.278748,-599.741451,5.113,5.113
-665.996471,-605.688591,5.230,5.230
-661.051097,-610.667915,5.264,5.264
-653.978039,-616.292530,5.181,5.181
-645.258528,-618.524526,5.106,5.106
-637.754113,-619.129135,5.118,5.118
-629.091616,-617.698326,5.129,5.129
-620.202631,-614.326930,5.287,5.287
-491.246813,-557.857972,5.279,5.279
-473.885963,-548.950328,5.710,5.710
-455.148221,-535.957038,5.584,5.584
-430.083788,-512.189476,5.600,5.600
-416.354024,-495.662846,5.484,5.484
-402.782751,-476.347218,5.428,5.428
-361.703368,-414.226825,5.006,5.006
-357.445687,-405.063493,5.092,5.092
-354.394978,-397.858358,5.163,5.163
-352.886726,-388.431331,5.315,5.315
-353.389301,-380.219261,5.176,5.176
-354.620228,-375.371690,5.239,5.239
-357.420749,-369.209035,5.307,5.307
-364.308297,-360.209261,5.384,5.384
-372.760777,-354.031259,5.209,5.209
-385.417977,-346.754323,5.379,5.379
-410.233950,-328.427212,5.403,5.403
-418.062716,-318.875562,5.349,5.349
-425.101664,-307.846718,5.294,5.294
-431.106782,-294.362456,5.371,5.371
-463.174151,-215.430590,4.279,4.279
-494.403259,-141.214128,5.179,5.179
-498.720632,-129.907793,5.384,5.384
-502.017371,-112.874094,5.394,5.394
-502.007605,-96.747400,5.268,5.268
-499.934156,-83.449393,5.278,5.278
-495.408601,-69.740614,5.294,5.294
-488.863610,-57.242504,5.331,5.331
-481.331390,-46.241699,5.375,5.375
-470.962594,-36.357582,5.368,5.368
-457.222132,-26.506167,5.349,5.349
-439.223810,-17.121729,5.272,5.272
-353.373535,24.724624,5.175,5.175
