# x_m,y_m,w_tr_right_m,w_tr_left_m
-48.413954,1285.158005,6.455,6.455
-35.275664,1281.424953,6.455,6.455
-25.098092,1279.825649,6.455,6.455
0.992996,1278.861126,6.455,6.455
16.220478,1278.248658,6.455,6.455
30.377099,1277.079984,6.455,6.455
42.547397,1274.535865,6.355,6.355
59.601890,1270.477054,6.255,6.255
72.223545,1265.800042,6.255,6.255
81.868143,1261.580077,6.255,6.255
99.291287,1252.710983,6.255,6.255
109.111394,1246.896131,6.255,6.255
120.046125,1239.218176,6.255,6.255
128.546049,1232.164501,6.255,6.255
136.500459,1225.498630,6.255,6.255
148.613551,1213.427702,6.255,6.255
158.600081,1201.976656,6.255,6.255
166.890674,1189.966957,6.255,6.255
173.603472,1178.444754,6.255,6.255
178.653130,1168.906948,6.255,6.255
184.544707,1156.278908,6.255,6.255
188.458516,1145.528515,6.255,6.255
191.967752,1132.326917,6.255,6.255
203.831213,1076.220436,6.255,6.255
223.828973,977.592833,6.255,6.255
243.951624,889.814444,6.255,6.255
244.372077,885.049769,6.255,6.255
244.337708,880.552760,5.995,5.995
243.714468,875.199216,5.735,5.735
241.631780,871.779000,5.735,5.735
239.023150,868.658209,5.735,5.735
232.352356,866.104178,5.735,5.735
213.203224,861.258482,5.735,5.735
203.859936,857.713801,5.735,5.735
191.357275,850.869805,5.735,5.735
180.476583,843.528148,5.735,5.735
167.747005,832.138511,5.735,5.735
165.489957,824.995350,5.735,5.735
161.305053,814.601842,5.735,5.735
158.144425,805.285273,5.850,5.850
155.282773,794.365427,5.965,5.965
135.461997,671.791571,5.965,5.965
129.958491,633.370395,5.965,5.965
128.427059,611.077802,5.965,5.965
129.017223,577.451888,5.965,5.965
130.170552,561.656759,5.965,5.965
134.654350,535.209602,5.965,5.965
138.737132,514.249164,5.965,5.965
143.881603,494.666235,5.965,5.965
150.668562,473.231687,5.965,5.965
158.623259,453.965183,5.965,5.965
175.489457,421.225940,5.965,5.965
186.541436,402.026734,5.965,5.965
199.889883,382.477757,5.965,5.965
210.701975,368.235857,5.965,5.965
223.396970,353.635193,5.965,5.965
235.115551,341.022737,5.965,5.965
248.987153,328.179499,5.965,5.965
269.680086,311.343428,5.965,5.965
298.177613,287.394002,5.965,5.965
339.878905,252.551638,5.965,5.965
341.380418,250.297257,5.965,5.965
362.497611,232.959500,6.043,6.043
366.108501,230.051499,6.120,6.120
369.664184,227.253317,6.120,6.120
373.762764,224.589042,6.120,6.120
377.906793,222.669578,6.120,6.120
381.979107,221.214834,6.120,6.120
387.459288,219.790655,6.120,6.120
392.584620,219.302428,6.120,6.120
397.887748,219.140013,6.120,6.120
429.234350,223.695037,6.120,6.120
463.239538,228.252127,6.120,6.120
492.629427,233.730304,6.120,6.120
497.657158,234.494406,6.120,6.120
501.174667,234.670643,6.120,6.120
504.881293,234.651148,6.120,6.120
506.989705,234.041883,6.120,6.120
509.104617,233.133008,6.120,6.120
510.828862,231.971415,6.120,6.120
543.411189,203.913308,6.960,6.960
551.076855,197.918052,7.800,7.800
561.903831,189.038261,7.800,7.800
605.954371,153.768210,7.800,7.800
636.320625,128.414975,7.800,7.800
658.164564,109.182746,7.800,7.800
683.524124,89.393863,7.025,7.025
695.648196,77.111551,6.250,6.250
706.416049,68.507851,6.250,6.250
714.310839,60.052808,6.250,6.250
724.677813,48.009924,6.250,6.250
733.395601,35.698152,6.250,6.250
739.773839,26.133342,6.250,6.250
749.048095,9.670417,6.250,6.250
756.368807,-5.202873,6.250,6.250
761.609877,-21.198109,6.250,6.250
766.618842,-38.264154,6.250,6.250
772.615910,-57.462554,6.250,6.250
779.345614,-77.566538,6.250,6.250
782.970214,-90.466082,6.250,6.250
794.825862,-128.166486,6.250,6.250
807.504404,-169.723626,6.250,6.250
811.205860,-182.110829,6.250,6.250
820.097360,-214.080845,6.160,6.160
837.579391,-284.942248,6.338,6.338
844.052861,-315.176716,6.305,6.305
846.002984,-325.092739,6.175,6.175
846.289833,-327.038467,6.175,6.175
845.580137,-331.475001,6.378,6.378
840.437248,-335.338409,5.964,5.964
812.914919,-345.526471,5.750,5.750
712.994315,-384.860739,5.750,5.750
657.764159,-407.895461,5.750,5.750
639.234142,-415.180423,5.750,5.750
633.140714,-416.711397,5.750,5.750
628.577293,-417.354351,5.750,5.750
623.064973,-417.673728,5.750,5.750
616.331137,-417.275774,5.750,5.750
606.459692,-414.669992,5.750,5.750
597.696503,-411.618312,5.750,5.750
588.444520,-406.323562,5.750,5.750
580.101951,-399.532544,5.750,5.750
573.291888,-392.375234,5.750,5.750
566.555270,-383.329016,5.750,5.750
508.664630,-283.746662,5.750,5.750
479.669990,-237.181782,5.750,5.750
467.962060,-219.328714,5.750,5.750
464.460718,-216.185163,5.750,5.750
459.178888,-213.746371,5.750,5.750
454.202686,-213.221576,5.750,5.750
449.587074,-214.709499,5.750,5.750
446.024278,-217.251455,5.750,5.750
441.095592,-222.565228,5.750,5.750
423.659299,-242.938248,5.750,5.750
389.517507,-283.679649,5.750,5.750
381.804166,-292.095849,5.750,5.750
374.624207,-297.103295,5.750,5.750
366.007195,-301.198296,5.750,5.750
357.019930,-304.457603,5.750,5.750
344.943640,-306.129831,5.750,5.750
335.406784,-305.970614,5.750,5.750
323.478513,-303.110084,5.750,5.750
316.063324,-300.528996,5.750,5.750
309.197863,-296.914596,5.750,5.750
303.899878,-292.921990,5.750,5.750
295.708577,-286.627541,5.750,5.750
283.917156,-276.292515,5.750,5.750
212.886844,-207.017058,5.750,5.750
4.570749,-6.561693,6.297,6.297
-148.035610,140.369771,6.845,6.845
-156.163038,148.141756,6.845,6.845
-182.797650,173.817732,6.845,6.845
-209.598258,199.023733,6.845,6.845
-236.139500,224.035471,6.845,6.845
-257.925670,244.943110,6.845,6.845
-267.314803,255.662823,6.845,6.845
-269.399953,258.836947,6.845,6.845
-270.499400,262.831889,6.845,6.845
-270.912600,266.442115,6.845,6.845
-270.177545,269.877528,6.845,6.845
-268.791249,273.726801,6.845,6.845
-261.329310,290.042709,6.845,6.845
-256.900750,299.720170,6.845,6.845
-253.070392,310.994375,6.845,6.845
-251.332362,318.903513,6.845,6.845
-249.663183,329.164758,6.845,6.845
-248.729183,341.652576,6.845,6.845
-249.621536,357.153631,6.845,6.845
-251.732937,371.229283,6.845,6.845
-253.824888,378.755220,6.845,6.845
-256.432380,386.103394,6.845,6.845
-262.531080,399.337236,6.845,6.845
-267.489822,408.332772,6.845,6.845
-273.085076,416.237548,6.845,6.845
-283.397286,427.292400,6.845,6.845
-296.189179,438.615157,6.845,6.845
-372.574087,507.880444,6.845,6.845
-406.092864,541.532319,6.845,6.845
-440.135317,578.192379,6.845,6.845
-486.601089,633.454616,6.845,6.845
-504.749572,655.418011,6.845,6.845
-520.666106,675.553840,6.845,6.845
-541.738324,707.633856,6.845,6.845
-593.797880,792.426802,6.845,6.845
-605.551017,812.986419,6.845,6.845
-607.262714,815.979888,6.845,6.845
-615.949748,831.188668,6.845,6.845
-620.176545,841.310195,6.845,6.845
-621.534251,848.252581,6.845,6.845
-622.044418,853.070792,6.845,6.845
-620.377864,859.002307,6.845,6.845
-617.840273,862.943383,6.845,6.845
-614.609341,866.177965,6.845,6.845
-610.762168,868.204783,6.845,6.845
-604.541035,869.972561,6.845,6.845
-598.290916,871.219176,6.845,6.845
-590.225268,872.782960,6.845,6.845
-580.263839,875.020920,5.435,5.435
-555.495993,881.389942,4.025,4.025
-549.981906,882.476132,4.025,4.025
-544.345346,883.598298,4.025,4.025
-505.647146,891.481222,4.025,4.025
-498.399914,895.047612,4.025,4.025
-492.582055,899.160117,4.025,4.025
-488.116632,903.520666,4.025,4.025
-484.152698,909.480055,4.025,4.025
-482.739951,914.540048,4.025,4.025
-482.001479,920.240347,4.025,4.025
-481.634246,929.640596,4.025,4.025
-482.148740,936.679104,4.025,4.025
-483.485103,954.757214,4.025,4.025
-485.560927,982.921957,4.025,4.025
-490.066947,1044.195174,4.025,4.025
-490.436383,1066.379885,4.713,4.713
-490.073601,1074.370089,5.400,5.400
-489.989897,1083.852967,5.400,5.400
-491.847462,1115.330842,5.548,5.548
-485.957174,1124.607311,5.695,5.695
-482.745028,1129.517814,5.695,5.695
-476.617088,1135.568795,5.695,5.695
-431.385886,1170.960029,5.695,5.695
-377.144187,1212.264888,5.695,5.695
-361.756070,1222.458797,5.695,5.695
-348.504923,1230.518942,5.695,5.695
-332.791844,1238.732631,5.695,5.695
-319.370437,1245.042333,5.695,5.695
-304.534770,1250.694506,5.695,5.695
-289.137942,1256.858464,5.695,5.695
-241.456347,1275.615772,5.695,5.695
-217.310159,1285.933528,5.695,5.695
-203.058741,1292.949423,5.695,5.695
-184.286441,1302.606064,5.695,5.695
-167.259610,1312.768652,5.695,5.695
-141.523411,1330.137192,5.695,5.695
-135.321363,1334.823973,5.695,5.695
-131.184998,1336.523783,5.695,5.695
-126.341777,1336.895647,5.695,5.695
-122.552021,1335.912350,5.695,5.695
-118.850317,1332.906589,6.527,6.527
-109.188665,1322.248107,7.360,7.360
-104.757854,1318.914049,7.360,7.360
-92.513652,1308.933460,7.360,7.360
