# x_m,y_m,w_tr_right_m,w_tr_left_m
457.652470,-499.201098,5.705,5.705
371.266053,-490.964262,5.532,5.532
354.390010,-486.994016,5.485,5.485
341.110831,-478.148401,5.559,5.559
331.395625,-465.753310,5.552,5.552
325.563671,-448.371327,5.471,5.471
321.585915,-435.067600,5.556,5.556
315.076132,-411.067223,5.402,5.402
304.588812,-392.832121,6.012,6.012
283.569372,-373.443786,6.254,6.254
237.073407,-351.321615,6.212,6.212
204.141153,-332.720273,5.752,5.752
188.056417,-322.203344,5.550,5.550
167.015916,-312.918337,5.720,5.720
146.391456,-303.514132,5.685,5.685
126.946212,-300.189987,5.668,5.668
-218.774013,-252.320256,5.652,5.652
-226.298735,-250.040079,5.654,5.654
-233.457257,-246.365310,5.665,5.665
-238.222248,-237.331802,5.819,5.819
-244.261490,-152.678466,5.847,5.847
-253.134643,-86.890539,7.086,7.086
-255.413274,-79.306271,7.307,7.307
-258.546553,-73.986536,6.672,6.672
-261.425333,-72.287381,6.605,6.605
-269.798511,-70.537448,6.045,6.045
-277.874247,-72.280540,5.877,5.877
-283.667647,-78.843374,6.090,6.090
-297.999182,-99.045226,5.424,5.424
-303.471037,-105.656080,5.384,5.384
-310.784353,-108.526305,5.094,5.094
-316.022265,-107.542437,4.898,4.898
-323.471304,-106.185040,5.432,5.432
-333.647245,-99.311023,5.117,5.117
-339.631823,-95.078662,4.816,4.816
-368.682005,-91.259923,5.618,5.618
-403.591858,-88.662021,5.115,5.115
-421.987386,-82.006405,5.269,5.269
-430.407975,-73.496984,6.024,6.024
-430.809293,-58.459411,6.727,6.727
-425.275922,-38.196251,7.382,7.382
-414.138096,-15.331101,7.171,7.171
-402.187146,0.225993,6.510,6.510
-387.324003,16.550302,5.957,5.957
-380.291821,22.840978,5.960,5.960
-371.942001,29.544586,6.080,6.080
-360.960095,35.544354,6.359,6.359
-348.390936,40.491913,6.634,6.634
-332.717074,45.072800,6.841,6.841
-290.801215,47.894420,6.485,6.485
-199.867247,34.652408,6.522,6.522
7.892405,1.521787,6.862,6.862
941.357094,-128.015207,6.828,6.828
965.123984,-132.008578,8.404,8.404
974.162422,-134.544888,9.196,9.196
977.094780,-142.204958,8.355,8.355
973.312288,-184.860517,6.936,6.936
970.074705,-211.001198,6.661,6.661
971.064279,-225.693547,6.850,6.850
975.048365,-231.362935,5.890,5.890
994.843439,-240.444275,5.908,5.908
1011.972910,-248.806541,5.811,5.811
1014.677191,-256.184202,7.153,7.153
1006.602249,-311.217263,5.455,5.455
1002.493797,-327.608017,5.393,5.393
987.782840,-371.077272,5.364,5.364
978.904254,-391.597003,5.389,5.389
964.609360,-416.605886,5.478,5.478
898.947907,-525.895733,5.383,5.383
837.961061,-625.970918,5.374,5.374
789.830953,-705.940386,5.396,5.396
737.194988,-789.078666,5.443,5.443
720.307907,-812.243754,5.977,5.977
690.472280,-858.191051,7.339,7.339
689.512539,-865.317401,7.943,7.943
692.449937,-872.842067,8.818,8.818
724.709684,-892.969541,8.447,8.447
739.059574,-904.451427,6.605,6.605
743.921083,-908.652994,5.943,5.943
744.561937,-913.812989,5.461,5.461
742.001086,-920.163817,5.666,5.666
738.608607,-924.979409,5.790,5.790
727.832271,-934.034224,5.662,5.662
650.007144,-992.209308,5.502,5.502
644.627141,-994.865117,5.398,5.398
640.119030,-995.455919,5.652,5.652
632.271285,-994.486553,5.803,5.803
625.483419,-989.369041,5.481,5.481
620.523203,-985.707935,5.484,5.484
616.629149,-978.156962,5.623,5.623
615.400364,-971.515571,6.263,6.263
617.238271,-952.178630,5.853,5.853
619.569614,-933.690594,5.683,5.683
623.925558,-902.377631,5.405,5.405
641.288363,-769.200664,5.488,5.488
648.373518,-715.393497,5.473,5.473
653.721788,-672.462055,5.353,5.353
653.638100,-667.548373,5.415,5.415
652.310202,-661.999613,5.404,5.404
650.417479,-657.661957,5.664,5.664
645.778013,-650.885712,5.650,5.650
629.780403,-639.679404,5.623,5.623
594.205737,-617.989728,5.467,5.467
574.493611,-602.354925,5.491,5.491
565.284270,-590.045824,5.501,5.501
557.140776,-575.755525,5.409,5.409
551.195485,-558.935721,5.363,5.363
546.480552,-548.434053,5.466,5.466
535.719701,-531.971630,5.476,5.476
524.981042,-522.608640,5.573,5.573
505.112107,-507.519917,5.627,5.627
483.641193,-502.565946,5.540,5.540
