# x_m,y_m,w_tr_right_m,w_tr_left_m
-117.632942,-292.552882,4.491,4.491
-133.934780,-281.659577,4.451,4.451
-150.201670,-267.766160,4.792,4.792
-179.053861,-245.882483,4.598,4.598
-204.909366,-224.453300,4.588,4.588
-234.153546,-199.633945,4.554,4.554
-243.332776,-191.827243,4.499,4.499
-250.767382,-183.369160,4.465,4.465
-254.147449,-179.135801,4.792,4.792
-256.273162,-175.444462,5.057,5.057
-258.038938,-170.119615,5.164,5.164
-258.226945,-164.169823,4.623,4.623
-256.891223,-157.662354,4.297,4.297
-251.753866,-142.295468,4.271,4.271
-250.045712,-136.404228,4.272,4.272
-248.604895,-129.974049,4.358,4.358
-248.015655,-123.734368,4.294,4.294
-248.190785,-118.737515,4.210,4.210
-249.051661,-115.251438,4.356,4.356
-250.940571,-110.442299,4.265,4.265
-254.200277,-106.315311,4.491,4.491
-295.705174,-56.751801,4.640,4.640
-327.681804,-16.691662,4.077,4.077
-332.648418,-11.331373,4.152,4.152
-338.512778,-5.647583,4.228,4.228
-345.021817,-0.722486,4.382,4.382
-352.624090,5.211990,4.203,4.203
-367.317179,13.091991,4.278,4.278
-375.051373,18.603806,4.250,4.250
-382.409634,25.314729,4.425,4.425
-390.212144,32.252391,4.463,4.463
-395.461510,38.766246,4.316,4.316
-401.145355,47.829499,4.120,4.120
-404.887438,56.628936,4.665,4.665
-410.742396,66.884063,4.691,4.691
-414.618182,77.529885,4.657,4.657
-418.275837,89.190378,4.231,4.231
-420.218291,100.193463,4.386,4.386
-421.663055,112.428951,4.232,4.232
-422.244894,124.906894,4.284,4.284
-422.624556,140.235148,4.082,4.082
-423.050971,255.074507,4.570,4.570
-423.597720,264.414290,4.377,4.377
-424.461219,269.093310,4.375,4.375
-426.018647,274.342109,4.278,4.278
-428.094263,278.115517,4.458,4.458
-431.249545,282.490480,4.467,4.467
-434.552353,285.727092,4.416,4.416
-437.816088,287.614970,4.443,4.443
-440.794201,289.343476,4.600,4.600
-446.094409,290.088945,4.831,4.831
-452.059013,290.571243,4.999,4.999
-456.867274,290.249542,4.928,4.928
-462.584936,289.439796,4.711,4.711
-468.842543,287.134959,4.442,4.442
-476.171148,284.128721,4.209,4.209
-482.269390,283.005455,4.387,4.387
-487.038230,282.614854,4.523,4.523
-493.099127,283.069201,4.430,4.430
-499.780292,284.829425,4.417,4.417
-506.201766,287.830731,4.642,4.642
-513.078409,291.113142,4.553,4.553
-519.233233,295.777987,4.472,4.472
-524.864078,301.091873,4.457,4.457
