# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.415889,1.098532,5.836,5.836
30.067066,309.130936,5.621,5.621
36.824934,376.034757,5.616,5.616
47.300146,492.128607,5.255,5.255
51.726193,545.683736,4.986,4.986
52.760005,558.105302,4.976,4.976
83.511132,918.869940,4.255,4.255
84.235956,923.719597,4.231,4.231
85.145350,926.052501,4.463,4.463
86.265931,928.384653,4.282,4.282
88.203075,929.167978,4.405,4.405
91.027644,930.494014,4.200,4.200
94.538561,930.497995,4.080,4.080
97.074800,930.366699,4.433,4.433
113.281269,928.167692,4.204,4.204
116.309582,929.022253,4.305,4.305
119.761960,930.559656,4.475,4.475
122.942059,933.008648,4.456,4.456
126.090374,936.828453,4.408,4.408
127.769423,940.351580,4.581,4.581
128.665740,945.224375,4.361,4.361
128.337827,949.195666,4.385,4.385
125.966574,958.339370,4.255,4.255
124.214638,964.943500,4.365,4.365
106.770669,1029.919928,4.329,4.329
102.198656,1051.275760,4.356,4.356
99.604665,1068.919298,4.342,4.342
97.748916,1087.764420,4.412,4.412
97.428957,1112.371429,4.486,4.486
107.385613,1244.322321,4.301,4.301
108.493086,1254.574464,4.443,4.443
113.196546,1281.890263,4.277,4.277
117.172055,1297.158784,4.317,4.317
123.710781,1317.105758,4.456,4.456
135.321880,1342.368810,4.332,4.332
147.300982,1365.751470,4.460,4.460
160.944956,1387.616844,4.492,4.492
173.346533,1402.478136,4.558,4.558
185.939980,1416.610964,4.505,4.505
199.360940,1429.760846,4.461,4.461
212.991070,1441.522482,4.508,4.508
229.139593,1454.090262,4.462,4.462
244.597696,1464.343456,4.261,4.261
259.322509,1474.347391,4.450,4.450
281.780823,1486.024296,4.344,4.344
311.872251,1499.786447,4.274,4.274
337.649682,1507.685808,4.325,4.325
360.823647,1513.985382,4.301,4.301
381.644087,1519.167459,4.314,4.314
406.861838,1524.024899,4.834,4.834
444.552051,1529.337695,4.348,4.348
602.736131,1541.923914,4.427,4.427
683.963397,1548.654057,4.384,4.384
763.491716,1551.851252,6.258,6.258
811.565583,1554.334683,4.156,4.156
816.795178,1555.316718,4.160,4.160
820.465382,1557.123900,4.187,4.187
823.060885,1559.117217,4.055,4.055
825.296751,1561.907794,4.258,4.258
