# x_m,y_m,w_tr_right_m,w_tr_left_m
116.174007,43.005014,7.930,7.930
114.749013,53.388958,7.930,7.930
107.408209,63.594820,8.140,8.140
-237.353503,263.437729,8.350,8.350
-280.193339,298.065153,8.350,8.350
-376.856508,425.095506,9.418,9.418
-387.689326,425.113346,10.485,10.485
-391.950875,422.112079,10.485,10.485
-394.209132,415.729549,10.485,10.485
-393.221837,400.493830,10.485,10.485
-389.509157,380.195038,10.485,10.485
-383.136698,353.040206,10.485,10.485
-368.460311,304.614402,10.485,10.485
-348.581451,235.820529,10.485,10.485
-337.735881,212.674236,10.485,10.485
-327.987973,197.596068,10.485,10.485
-313.355013,186.059655,9.967,9.967
-294.385192,173.310356,9.450,9.450
-281.187907,164.837487,8.488,8.488
-112.671839,68.513266,7.525,7.525
50.932898,-33.028732,7.350,7.350
73.185467,-44.282469,7.175,7.175
94.074626,-63.273116,7.175,7.175
241.524407,-148.511277,7.175,7.175
325.898363,-219.842166,7.473,7.473
371.769282,-271.055983,7.770,7.770
382.132661,-273.666673,7.770,7.770
389.387540,-271.559196,7.770,7.770
396.125778,-265.294418,7.770,7.770
398.014927,-259.222351,6.460,6.460
396.804230,-250.278656,5.150,5.150
350.786184,-200.537709,5.150,5.150
284.185989,-144.480405,5.150,5.150
270.085915,-134.932947,5.150,5.150
250.891650,-123.059588,5.150,5.150
211.188322,-98.482055,5.150,5.150
195.735756,-89.595613,6.737,6.737
166.786421,-72.212392,8.325,8.325
113.220325,-41.050133,8.325,8.325
95.818009,-30.427317,8.485,8.485
84.246830,-21.032874,8.485,8.485
85.234793,-10.389245,8.485,8.485
