# x_m,y_m,w_tr_right_m,w_tr_left_m
-439.245369,-438.893808,4.643,4.643
-456.396350,-489.187016,4.390,4.390
-483.077906,-564.916109,4.249,4.249
-485.293172,-571.493354,4.273,4.273
-486.810456,-577.730212,4.275,4.275
-487.883956,-585.713055,4.472,4.472
-487.796309,-593.288055,4.355,4.355
-487.297817,-598.768071,4.356,4.356
-486.546134,-603.259100,4.325,4.325
-485.298246,-608.391924,4.307,4.307
-483.898876,-613.932150,4.366,4.366
-481.747159,-619.335922,4.398,4.398
-478.955453,-624.812562,4.366,4.366
-476.726166,-627.992747,4.459,4.459
-473.914121,-632.213998,4.478,4.478
-471.162468,-635.693042,4.502,4.502
-467.334765,-640.033148,4.419,4.419
-462.953242,-643.441007,4.395,4.395
-458.237038,-647.100705,4.406,4.406
-451.175389,-652.182493,4.450,4.450
-381.091833,-688.176146,4.366,4.366
-377.883727,-691.153524,4.508,4.508
-373.017264,-694.904364,4.558,4.558
-368.925844,-699.215367,4.472,4.472
-366.249671,-701.497531,4.680,4.680
-364.535106,-704.783215,4.612,4.612
-362.793844,-708.204910,4.702,4.702
-361.592168,-712.090804,4.803,4.803
-360.773792,-717.363062,4.931,4.931
-360.794427,-722.336650,4.877,4.877
-361.254821,-726.692832,4.965,4.965
-362.355211,-732.293437,4.939,4.939
-363.618392,-736.141563,4.989,4.989
-368.790978,-745.955281,5.220,5.220
-372.527199,-750.537815,5.343,5.343
-378.959363,-755.276781,5.311,5.311
-381.896375,-758.490833,5.442,5.442
-386.477627,-761.351007,5.572,5.572
-393.751793,-765.405598,5.523,5.523
-406.210187,-771.586557,5.484,5.484
-457.423762,-798.091286,5.626,5.626
-476.317650,-808.036937,5.606,5.606
-493.840275,-817.337206,5.514,5.514
-509.240542,-826.853336,5.613,5.613
-524.777187,-836.353731,5.532,5.532
-536.222690,-843.732168,5.620,5.620
-566.476211,-865.355534,5.651,5.651
-581.574807,-877.188600,5.702,5.702
-600.149920,-892.183197,5.683,5.683
-619.569483,-909.278996,5.698,5.698
-640.520872,-929.753963,5.585,5.585
-648.285409,-938.181636,5.708,5.708
-666.804067,-959.942484,5.836,5.836
-695.622976,-994.874720,5.588,5.588
-707.868563,-1012.052956,5.581,5.581
-719.271374,-1029.217161,5.447,5.447
-745.451698,-1071.901933,5.474,5.474
-752.397267,-1082.996460,5.541,5.541
-756.525755,-1087.840815,5.617,5.617
-761.763193,-1092.384044,5.325,5.325
-764.388557,-1095.168003,5.310,5.310
-767.714940,-1096.740983,5.381,5.381
-771.632239,-1098.715902,5.265,5.265
-776.090459,-1099.283566,5.210,5.210
-779.151630,-1100.168088,5.237,5.237
-783.462937,-1100.361728,5.064,5.064
-787.298683,-1099.992134,5.134,5.134
-790.443360,-1098.553813,5.161,5.161
-801.340844,-1095.179134,5.204,5.204
-805.724631,-1092.039844,4.996,4.996
-808.868343,-1090.018523,4.979,4.979
-811.049233,-1088.357439,4.787,4.787
-813.087355,-1086.035604,4.884,4.884
-816.753978,-1080.023494,4.771,4.771
-818.965632,-1077.014315,4.910,4.910
-820.556563,-1072.132406,4.819,4.819
-822.298016,-1067.523772,4.778,4.778
-823.351515,-1062.065293,4.725,4.725
-823.758864,-1057.998908,4.739,4.739
-823.585256,-1053.005440,4.805,4.805
-822.894636,-1049.371915,4.703,4.703
-821.464803,-1044.945133,4.577,4.577
-819.837236,-1041.473126,4.507,4.507
-818.380339,-1037.465586,4.362,4.362
-816.409192,-1034.236808,4.534,4.534
-814.292495,-1030.962374,4.397,4.397
-811.393109,-1027.195228,4.407,4.407
-808.629527,-1025.023255,4.558,4.558
-787.166571,-1006.112550,4.583,4.583
-614.961116,-842.995686,4.556,4.556
-607.968477,-835.878185,4.676,4.676
-603.682840,-830.852789,4.489,4.489
-601.390847,-827.237692,4.539,4.539
-598.724833,-822.310059,4.523,4.523
-595.966561,-815.888014,4.441,4.441
-593.549820,-809.826556,4.376,4.376
-591.223778,-802.202997,4.401,4.401
-589.033244,-794.697575,4.483,4.483
-587.208425,-786.713211,4.416,4.416
-585.960346,-777.584153,4.594,4.594
-585.804094,-764.347289,4.533,4.533
-586.599306,-755.070420,4.496,4.496
-588.082452,-747.162920,4.651,4.651
-595.540189,-721.607416,4.580,4.580
-597.093468,-715.595078,4.740,4.740
-599.464086,-705.556278,4.761,4.761
-600.784634,-697.705849,4.719,4.719
-601.551121,-691.961256,4.806,4.806
-601.897596,-685.553841,4.785,4.785
-602.067465,-680.680957,4.809,4.809
-601.895695,-674.266118,4.916,4.916
-601.672597,-668.725603,5.098,5.098
-601.153844,-663.191050,5.140,5.140
-600.159732,-657.133980,5.103,5.103
-598.007597,-648.336162,6.061,6.061
-585.817439,-613.516265,6.002,6.002
-571.921051,-576.108163,5.299,5.299
-532.057293,-463.423792,5.283,5.283
-514.497477,-411.937364,5.447,5.447
-486.768928,-332.823433,5.571,5.571
-478.720581,-309.949696,5.459,5.459
-473.448094,-294.324719,5.359,5.359
-471.937549,-287.436696,5.291,5.291
-471.463641,-283.516200,5.257,5.257
-471.427525,-277.304411,5.123,5.123
-471.847749,-274.553496,5.233,5.233
-472.216365,-271.699981,5.055,5.055
-472.850326,-269.099980,5.199,5.199
-474.160110,-265.906179,5.278,5.278
-475.946225,-261.584337,5.342,5.342
-478.084271,-258.125634,5.377,5.377
-480.629076,-254.831575,5.400,5.400
-483.046872,-251.611084,5.500,5.500
-486.216290,-249.500689,5.485,5.485
-490.292600,-247.372655,5.295,5.295
-493.356601,-245.571506,5.396,5.396
-611.375524,-190.517488,5.453,5.453
-615.970155,-187.141583,5.390,5.390
-621.055168,-183.825199,5.387,5.387
-624.285866,-180.214889,5.291,5.291
-627.182260,-176.884410,5.346,5.346
-629.663485,-173.031184,5.365,5.365
-632.711733,-167.634439,5.375,5.375
-635.561683,-162.664646,5.351,5.351
-637.366247,-158.435452,5.434,5.434
-639.636908,-152.397940,5.465,5.465
-641.513072,-145.641468,5.439,5.439
-642.291987,-137.843747,5.510,5.510
-641.799919,-129.733636,5.404,5.404
-640.772421,-123.546932,5.344,5.344
-639.336236,-117.650268,5.326,5.326
-637.550717,-113.048516,5.196,5.196
-635.700666,-108.857368,5.158,5.158
-633.489089,-104.292110,5.294,5.294
-629.740307,-98.888121,5.430,5.430
-624.709724,-92.546830,5.383,5.383
-621.574595,-89.064732,5.400,5.400
-578.408591,-39.999354,5.509,5.509
-507.973468,39.992616,5.411,5.411
-437.260556,121.569486,5.549,5.549
-420.035396,140.995566,5.481,5.481
-412.704218,150.258515,5.481,5.481
-404.483103,158.621225,5.546,5.546
-394.808225,168.662945,5.524,5.524
-384.375905,177.447488,5.449,5.449
-379.264996,182.397394,5.443,5.443
-373.370015,185.689301,5.448,5.448
-365.923717,189.366852,5.450,5.450
-356.458738,194.269528,5.488,5.488
-346.010697,198.298692,5.425,5.425
-338.090314,200.721952,5.436,5.436
-330.954395,202.992999,5.471,5.471
-321.779297,205.009139,5.431,5.431
-133.391389,249.323598,5.425,5.425
-104.806108,256.073096,5.306,5.306
49.205946,292.265001,5.414,5.414
56.069073,293.628267,5.536,5.536
76.590168,298.872722,5.484,5.484
81.698367,300.350916,5.438,5.438
85.705985,302.611777,5.370,5.370
88.744123,305.290217,5.462,5.462
91.936362,308.257611,5.466,5.466
94.808146,311.124620,5.447,5.447
97.639028,315.667922,5.329,5.329
99.507506,318.463097,5.249,5.249
101.588920,324.956143,5.382,5.382
105.240805,338.204265,5.336,5.336
107.054102,342.478390,5.349,5.349
109.653828,346.653576,5.370,5.370
112.546999,350.369881,5.059,5.059
114.538852,353.442091,4.889,4.889
117.320883,355.991293,4.676,4.676
119.254011,357.686763,4.947,4.947
123.597553,360.726479,5.163,5.163
130.257383,364.837831,5.823,5.823
