# x_m,y_m,w_tr_right_m,w_tr_left_m
-636.037544,299.695934,5.151,5.151
-634.468046,312.255885,4.970,4.970
-631.204713,323.408483,5.022,5.022
-624.205491,336.304586,5.119,5.119
-614.425879,347.765184,5.096,5.096
-604.854064,355.092458,5.198,5.198
-596.172517,360.134561,5.076,5.076
-586.170047,364.247796,5.090,5.090
-574.712644,367.315126,4.993,4.993
-565.325139,368.767515,4.977,4.977
-554.403860,368.372685,5.013,5.013
-542.700275,367.283432,5.082,5.082
-528.835865,363.966809,4.986,4.986
-378.235823,334.403809,5.032,5.032
-242.913228,308.998069,4.953,4.953
-27.339651,265.933140,4.991,4.991
-13.380371,263.181474,4.994,4.994
-4.425583,256.921371,5.090,5.090
2.439523,247.662139,4.978,4.978
6.577467,239.053240,4.938,4.938
26.632669,185.888696,5.098,5.098
31.551913,175.896945,5.045,5.045
35.387699,170.974746,5.105,5.105
40.251871,165.536503,5.143,5.143
47.744965,160.318425,4.974,4.974
57.488268,157.132073,4.990,4.990
71.837523,155.003011,5.072,5.072
268.148114,129.991009,4.872,4.872
281.883516,127.334378,5.016,5.016
291.500466,123.525557,5.021,5.021
298.591149,118.280477,4.990,4.990
304.389166,111.053432,4.822,4.822
309.355753,98.410581,4.844,4.844
329.855348,40.419666,4.905,4.905
335.159194,25.989415,4.875,4.875
355.826438,-33.869712,4.734,4.734
358.884433,-46.844913,4.771,4.771
359.104590,-55.385945,4.919,4.919
358.109804,-61.772575,4.978,4.978
355.153902,-71.283354,5.134,5.134
350.537241,-79.631252,5.450,5.450
343.130312,-85.702331,5.522,5.522
335.930953,-90.852331,5.564,5.564
327.299692,-92.983450,5.652,5.652
319.242076,-92.999811,5.696,5.696
308.314821,-89.980905,6.039,6.039
284.044586,-83.081616,5.999,5.999
-10.516048,2.700290,7.112,7.112
-45.708849,12.961325,6.028,6.028
-348.937716,101.972234,6.017,6.017
-360.117635,103.064366,5.678,5.678
-366.046313,102.677815,5.571,5.571
-371.713187,101.748980,5.507,5.507
-376.895778,98.727616,5.553,5.553
-381.751591,96.199014,5.591,5.591
-387.281359,91.457411,5.951,5.951
-394.161401,85.298901,6.918,6.918
-400.961533,79.632451,8.021,8.021
-409.335454,74.178631,8.226,8.226
-420.329213,69.074017,7.773,7.773
-427.291819,66.466271,6.948,6.948
-435.108183,64.946181,6.669,6.669
-444.084425,64.694684,6.210,6.210
-453.481813,66.958260,5.464,5.464
-462.578568,70.255867,5.043,5.043
-471.008835,76.819534,5.007,5.007
-479.228339,84.385407,4.966,4.966
-485.503360,94.868934,4.861,4.861
-488.786703,103.477967,5.015,5.015
-490.888255,110.532063,5.017,5.017
-491.734395,120.305357,4.913,4.913
-491.222374,127.773738,4.929,4.929
-489.421158,136.482458,4.900,4.900
-486.197570,144.084639,4.895,4.895
-481.414969,152.706746,4.973,4.973
-472.125429,162.648856,4.962,4.962
-462.929444,169.247302,4.902,4.902
-453.476931,172.405815,4.911,4.911
-442.222956,174.645079,4.977,4.977
-432.373137,174.259949,4.988,4.988
-419.282390,172.872350,5.018,5.018
-173.884928,141.098572,5.098,5.098
-160.549496,140.223823,4.985,4.985
-151.278391,140.989453,5.018,5.018
-142.931281,144.160331,5.023,5.023
-135.119937,148.577051,5.045,5.045
-128.305739,156.222155,5.083,5.083
-122.903574,162.646358,4.587,4.587
-119.429072,170.501978,4.560,4.560
-116.764134,180.451617,4.629,4.629
-116.433301,189.839438,4.698,4.698
-117.583996,196.985783,4.170,4.170
-119.802327,205.685240,4.436,4.436
-124.123929,213.777125,5.033,5.033
-130.539622,220.147620,5.097,5.097
-138.197915,225.846304,4.960,4.960
-148.406642,230.153180,5.066,5.066
-171.947807,234.143330,5.052,5.052
-259.080362,250.692208,4.943,4.943
-395.267850,275.886133,5.028,5.028
-464.246722,289.124257,5.085,5.085
-476.487376,289.595154,5.023,5.023
-487.282316,288.188317,4.929,4.929
-496.439081,285.454550,4.953,4.953
-507.762467,279.836899,4.967,4.967
-553.431180,250.516545,5.095,5.095
-566.230364,241.742893,4.988,4.988
-572.407802,235.123681,5.006,5.006
-577.872740,226.694884,5.175,5.175
-581.220361,216.603875,5.022,5.022
-591.738409,148.467059,5.107,5.107
-592.993290,138.865512,5.020,5.020
-592.019502,129.829488,4.967,4.967
-588.890040,122.148392,5.126,5.126
-583.281832,112.734861,5.111,5.111
-575.883608,102.016579,5.013,5.013
-571.881318,91.067681,5.013,5.013
-570.799116,80.844044,5.094,5.094
-571.499055,70.461315,4.961,4.961
-575.227797,57.981476,5.021,5.021
-580.559816,48.596569,5.121,5.121
-588.056063,42.078505,5.145,5.145
-598.462085,34.996446,5.145,5.145
-609.184787,30.867983,5.097,5.097
-621.083271,29.582080,5.158,5.158
-633.655335,30.811509,5.187,5.187
-646.749429,35.889765,5.102,5.102
-657.629213,43.716305,5.006,5.006
-665.937845,54.362588,5.024,5.024
-669.502872,62.385319,4.925,4.925
-671.956803,71.545426,4.956,4.956
-672.481526,82.170681,5.109,5.109
-672.238381,95.717621,4.985,4.985
-670.362289,227.467451,5.006,5.006
-669.141801,235.787106,5.028,5.028
-665.114721,243.396673,5.114,5.114
-658.685529,249.005205,5.066,5.066
-648.048408,257.005596,5.091,5.091
-642.540067,261.814957,5.167,5.167
-638.413258,266.962287,5.197,5.197
-635.794089,274.795569,5.114,5.114
-635.537404,287.351695,5.033,5.033
