# x_m,y_m,w_tr_right_m,w_tr_left_m
119.565658,-421.977587,6.861,6.861
41.200656,-462.758586,7.613,7.613
33.438035,-467.352280,7.021,7.021
27.734979,-467.557822,6.985,6.985
21.101627,-465.906041,8.088,8.088
12.620731,-459.975219,10.054,10.054
-13.381445,-397.105557,7.692,7.692
-15.730980,-383.555739,7.792,7.792
-10.427282,-201.314316,5.789,5.789
-9.880581,-187.362606,5.811,5.811
24.624668,573.177179,6.803,6.803
29.982782,719.463402,7.923,7.923
30.293423,723.830318,8.239,8.239
32.438535,728.773679,8.789,8.789
38.303859,733.448393,9.054,9.054
46.054931,733.284505,8.749,8.749
50.940992,731.435487,8.484,8.484
106.824689,677.046429,7.451,7.451
114.263152,673.065073,7.268,7.268
124.207688,672.415350,7.516,7.516
211.664552,700.500016,6.812,6.812
222.820740,703.541391,6.715,6.715
235.347624,703.369679,6.295,6.295
247.351461,702.603404,6.396,6.396
265.970982,699.119001,6.183,6.183
270.617054,698.207170,6.406,6.406
778.765086,598.003085,8.224,8.224
787.966729,592.943329,9.273,9.273
791.989941,577.984227,11.327,11.327
791.202923,566.307162,9.728,9.728
790.253247,554.155696,8.731,8.731
786.122264,539.550947,9.675,9.675
687.719693,459.241087,8.010,8.010
655.898353,429.820925,6.391,6.391
643.044288,415.209062,6.488,6.488
622.100002,391.481988,6.422,6.422
612.219132,372.917263,6.359,6.359
603.807140,354.047827,6.308,6.308
592.766209,328.488772,6.281,6.281
578.014616,315.506005,6.390,6.390
563.075102,309.954277,6.403,6.403
539.924943,308.261173,6.614,6.614
499.044980,313.431358,6.334,6.334
475.508136,315.826825,5.968,5.968
457.134705,311.740046,5.988,5.988
438.827920,302.550013,5.940,5.940
425.580749,289.833141,6.117,6.117
310.768043,144.608882,7.030,7.030
303.412997,137.971512,7.238,7.238
295.658047,137.919057,7.118,7.118
285.263817,138.720841,7.322,7.322
278.821659,141.526188,7.143,7.143
271.078437,144.686388,7.279,7.279
266.864521,156.547030,6.786,6.786
266.705390,168.007219,6.905,6.905
268.918088,180.840091,6.814,6.814
307.841164,423.201236,6.100,6.100
312.590942,457.630485,5.822,5.822
310.127700,481.020777,5.842,5.842
306.093457,495.148616,5.812,5.812
301.015541,508.947409,5.900,5.900
292.287410,520.326633,5.876,5.876
281.646204,531.906374,5.976,5.976
254.101134,553.816897,7.204,7.204
248.304929,556.439890,7.831,7.831
245.049039,556.793285,8.851,8.851
238.248039,554.335125,9.326,9.326
232.961649,544.452210,8.800,8.800
213.196222,397.602589,6.289,6.289
204.450952,208.286800,5.508,5.508
189.800134,-131.184855,5.597,5.597
189.637713,-140.688857,5.989,5.989
190.921117,-147.398277,6.259,6.259
195.272142,-154.586586,6.322,6.322
215.954209,-162.986033,6.777,6.777
226.310983,-165.890064,6.698,6.698
242.933951,-167.564510,6.815,6.815
262.840943,-166.866731,7.285,7.285
277.339106,-164.772179,6.664,6.664
292.918335,-161.788678,6.385,6.385
310.649211,-154.745383,6.352,6.352
327.313593,-146.576568,6.497,6.497
344.188722,-132.301842,6.357,6.357
354.835308,-119.499700,6.513,6.513
365.022751,-106.251473,6.345,6.345
372.994590,-90.744513,6.360,6.360
386.342421,-59.352070,6.401,6.401
401.852201,-17.954914,5.458,5.458
410.477408,-0.625565,5.443,5.443
421.948085,12.680307,5.386,5.386
438.177436,28.433369,5.443,5.443
455.121459,40.958408,5.503,5.503
471.739258,49.850143,6.784,6.784
487.143506,54.597975,6.738,6.738
511.108712,57.484886,6.027,6.027
533.285566,55.531583,7.304,7.304
561.056327,48.687514,7.530,7.530
668.538367,-3.003212,7.204,7.204
681.108261,-14.635997,7.308,7.308
690.234907,-29.434446,6.616,6.616
702.116516,-50.122896,6.353,6.353
706.062123,-63.682054,5.757,5.757
706.954782,-75.421836,5.915,5.915
702.779383,-88.232088,5.833,5.833
692.333216,-99.981466,5.836,5.836
678.854741,-110.802859,5.762,5.762
663.403461,-120.557459,5.839,5.839
621.537014,-141.327258,6.191,6.191
188.884006,-382.661006,6.328,6.328
