# x_m,y_m,w_tr_right_m,w_tr_left_m
75.948018,-279.313676,5.210,5.210
77.785517,-284.604530,4.880,4.880
80.801654,-289.266373,4.854,4.854
86.406675,-298.293086,4.856,4.856
91.970686,-306.258663,5.017,5.017
97.724598,-313.154253,5.485,5.485
102.167382,-317.229438,5.926,5.926
108.820090,-319.970056,6.545,6.545
116.408441,-322.528658,6.894,6.894
122.892517,-324.111875,7.122,7.122
131.266633,-324.640894,7.124,7.124
137.429272,-324.292072,6.745,6.745
142.180688,-322.025586,6.223,6.223
146.547818,-318.274532,6.127,6.127
168.927307,-294.423483,6.239,6.239
177.578143,-285.359879,6.145,6.145
185.484698,-278.478923,6.707,6.707
194.139889,-274.399166,6.713,6.713
202.494779,-272.442103,6.567,6.567
210.873233,-271.205817,5.830,5.830
218.614908,-274.033804,5.869,5.869
245.859347,-290.073113,6.207,6.207
264.970557,-298.824960,6.198,6.198
277.125716,-303.030285,6.316,6.316
289.729898,-305.647592,6.523,6.523
302.999633,-307.980744,6.366,6.366
314.407648,-309.226816,6.357,6.357
327.594290,-308.832312,6.220,6.220
342.811237,-306.930856,6.252,6.252
355.264503,-303.599393,6.277,6.277
371.075923,-298.665430,6.219,6.219
384.686600,-290.222429,6.092,6.092
396.272359,-282.598520,6.163,6.163
407.165941,-273.398084,6.091,6.091
418.700080,-260.736366,6.195,6.195
427.696524,-247.475326,6.279,6.279
435.994454,-233.399399,6.297,6.297
442.582781,-219.227237,6.388,6.388
446.944036,-204.323772,6.024,6.024
451.702320,-187.412719,4.932,4.932
464.159178,-146.287602,4.435,4.435
471.955800,-111.440927,6.470,6.470
486.501385,-54.534640,5.032,5.032
508.576475,30.931306,4.586,4.586
552.189105,201.344870,4.540,4.540
575.504450,290.411464,5.212,5.212
597.925357,377.382483,5.421,5.421
601.447009,392.037735,5.352,5.352
602.412675,399.793170,5.689,5.689
602.238988,408.198896,5.865,5.865
601.198525,414.853964,6.228,6.228
599.685833,421.786678,6.629,6.629
597.697783,427.096952,7.088,7.088
594.425483,434.469153,7.315,7.315
590.861748,438.470780,7.492,7.492
586.330736,442.111370,7.405,7.405
579.372398,445.710364,6.723,6.723
569.005744,449.691956,5.759,5.759
554.991959,453.268514,6.141,6.141
508.703930,460.774890,6.016,6.016
479.679350,463.066035,5.826,5.826
455.004305,461.472077,5.622,5.622
435.257438,454.122144,5.776,5.776
413.009033,446.060024,5.519,5.519
409.440114,444.476883,5.771,5.771
401.839526,440.538189,5.919,5.919
391.622009,432.563872,5.834,5.834
382.549228,425.690544,5.882,5.882
372.176011,414.921696,5.409,5.409
359.337327,397.524687,5.232,5.232
335.235378,361.772002,5.431,5.431
292.918709,299.233969,5.513,5.513
263.126058,257.186697,5.604,5.604
188.252887,153.915569,5.783,5.783
179.047361,143.459910,5.566,5.566
174.748972,138.879660,5.497,5.497
169.500321,133.911041,5.687,5.687
161.282514,127.817264,5.454,5.454
157.807363,124.805034,5.643,5.643
152.855238,122.592037,5.722,5.722
140.627668,121.103133,5.575,5.575
130.951352,120.717294,5.435,5.435
120.534966,120.516517,5.868,5.868
108.296610,121.259185,5.760,5.760
100.654707,122.353115,5.873,5.873
91.752560,123.742704,5.912,5.912
80.297780,128.089427,5.942,5.942
71.961857,131.639304,5.815,5.815
63.675477,135.973283,5.705,5.705
54.254056,141.841546,5.825,5.825
45.284524,147.081102,6.288,6.288
37.623853,152.903363,6.350,6.350
30.644112,161.127529,6.093,6.093
24.344162,170.165222,5.077,5.077
21.059026,177.125938,4.940,4.940
