# x_m,y_m,w_tr_right_m,w_tr_left_m
338.578507,195.070402,7.650,7.650
421.805417,101.112201,7.104,7.104
507.188728,2.801530,7.044,7.044
512.272599,-4.410622,6.925,6.925
515.870845,-10.906977,7.225,7.225
518.089392,-17.390910,7.227,7.227
518.067726,-22.442197,7.212,7.212
484.365607,-94.510135,7.155,7.155
480.798630,-102.768838,7.073,7.073
475.736654,-106.718256,7.262,7.262
468.330767,-110.412781,7.170,7.170
459.446388,-114.640631,7.116,7.116
337.994282,-119.356285,7.249,7.249
258.266232,-128.301812,7.176,7.176
11.513628,-159.832606,6.820,6.820
4.330891,-160.875527,7.018,7.018
-0.173205,-164.841874,6.811,6.811
-2.163181,-168.881731,6.784,6.784
-4.062778,-173.308038,6.995,6.995
-4.800792,-179.026176,7.251,7.251
-3.918989,-185.284829,7.040,7.040
-1.885506,-189.666081,7.185,7.185
1.615228,-192.853190,7.127,7.127
60.397014,-228.985367,6.816,6.816
72.003245,-236.596745,6.836,6.836
80.508786,-245.467798,7.255,7.255
91.789706,-261.522942,7.258,7.258
97.563360,-274.710843,7.181,7.181
99.752222,-286.438776,7.075,7.075
100.547294,-302.866019,7.152,7.152
100.426053,-320.796687,7.121,7.121
99.291930,-336.487646,7.037,7.037
96.771956,-350.910902,7.131,7.131
93.740856,-363.502717,7.144,7.144
89.188675,-379.665465,6.967,6.967
83.087164,-393.890286,7.292,7.292
71.389781,-417.980722,7.068,7.068
53.665644,-444.712319,7.128,7.128
41.381247,-457.815238,7.388,7.388
30.606988,-461.357092,7.183,7.183
20.109722,-461.027732,7.357,7.357
11.943201,-459.630559,7.010,7.010
4.743336,-455.979608,6.816,6.816
-204.952021,-283.377944,7.048,7.048
-218.221663,-273.627638,7.201,7.201
-235.291609,-268.277094,7.366,7.366
-248.378168,-267.510287,7.557,7.557
-263.414567,-268.747690,7.223,7.223
-275.893081,-273.812135,7.608,7.608
-325.834664,-302.838823,7.350,7.350
-355.107021,-315.894582,7.417,7.417
-368.159544,-321.377355,7.338,7.338
-385.113466,-324.063679,7.424,7.424
-404.518680,-324.530500,7.282,7.282
-422.542539,-324.290395,7.067,7.067
-448.036656,-320.483281,7.245,7.245
-473.243642,-310.585547,7.277,7.277
-492.985213,-297.972700,7.387,7.387
-508.762432,-283.433867,7.393,7.393
-518.029966,-273.833208,7.382,7.382
-527.276901,-258.707534,7.320,7.320
-533.556530,-241.578759,6.988,6.988
-534.094387,-230.731353,7.068,7.068
-531.537343,-220.196226,7.374,7.374
