# x_m,y_m,w_tr_right_m,w_tr_left_m
-372.022851,-79.721972,6.522,6.522
-488.077982,-105.344589,6.410,6.410
-497.808344,-107.275800,6.761,6.761
-510.013216,-107.763155,6.538,6.538
-517.263443,-107.232669,6.479,6.479
-526.146676,-105.456215,6.418,6.418
-534.179985,-103.956643,6.374,6.374
-541.541577,-102.149646,6.289,6.289
-548.644969,-99.611091,6.198,6.198
-557.812586,-95.812620,6.166,6.166
-565.896352,-91.031927,6.164,6.164
-574.461214,-84.610347,6.033,6.033
-580.435906,-80.342669,6.053,6.053
-586.941182,-72.840489,6.216,6.216
-593.277317,-65.554046,6.170,6.170
-598.498947,-54.817641,6.211,6.211
-602.144428,-44.971314,6.232,6.232
-604.349988,-34.225498,6.374,6.374
-605.251098,-23.423036,6.284,6.284
-604.850035,-11.955539,6.348,6.348
-603.489792,-0.454259,6.354,6.354
-600.904214,10.278925,6.456,6.456
-597.525428,18.966332,6.336,6.336
-592.969733,26.930234,6.379,6.379
-587.545515,35.508895,6.110,6.110
-582.038932,40.494296,6.213,6.213
-574.984097,45.656584,6.142,6.142
-567.679581,49.003105,6.073,6.073
-558.767765,50.565812,6.133,6.133
-551.532953,51.179953,6.090,6.090
-542.164479,50.099553,6.125,6.125
-531.813089,47.337451,6.086,6.086
-524.590246,43.448874,6.006,6.006
-518.343381,39.406776,6.129,6.129
-512.895332,35.072032,6.166,6.166
-509.002176,29.977598,6.184,6.184
-506.918417,25.338096,6.174,6.174
-505.338148,21.285725,6.094,6.094
-504.984880,16.065688,6.264,6.264
-505.705557,11.716679,6.109,6.109
-507.230929,5.812255,6.208,6.208
-514.100229,-6.935242,5.999,5.999
-516.217692,-12.339693,5.860,5.860
-517.912868,-17.833462,5.964,5.964
-519.666411,-23.647530,6.134,6.134
-520.104381,-30.947389,6.127,6.127
-518.345601,-38.138349,6.230,6.230
-515.257560,-44.331078,6.295,6.295
-510.157202,-49.149975,6.290,6.290
-503.722506,-51.857340,6.299,6.299
-494.716406,-54.561484,6.134,6.134
-489.997402,-55.974523,6.341,6.341
-484.533844,-56.984700,5.981,5.981
-480.928202,-56.223772,6.156,6.156
-475.867112,-55.576132,6.071,6.071
-471.562195,-54.514138,6.187,6.187
-468.021312,-51.605282,6.350,6.350
-460.950177,-44.192311,6.397,6.397
-455.125367,-35.222606,6.338,6.338
-450.870019,-26.923194,6.223,6.223
-447.487924,-18.483944,6.126,6.126
-445.072872,-9.130317,6.141,6.141
-442.919781,1.461195,6.161,6.161
-442.500647,15.611561,6.091,6.091
-443.106891,23.091950,6.366,6.366
-445.106349,33.245146,6.106,6.106
-448.287325,42.202971,6.098,6.098
-450.668496,48.487114,6.199,6.199
-455.033631,55.675521,6.320,6.320
-469.202503,72.576393,6.317,6.317
-564.314492,186.560267,6.275,6.275
-626.222450,258.378525,6.309,6.309
-635.316669,269.226028,6.134,6.134
-639.537734,274.891464,6.157,6.157
-643.364037,280.907925,6.330,6.330
-647.991088,291.953528,6.196,6.196
-651.853112,302.828308,6.039,6.039
-713.568034,488.399171,5.867,5.867
-714.910473,493.813764,6.008,6.008
-712.827285,501.098013,6.234,6.234
-707.984909,507.876851,6.192,6.192
-701.984688,513.578559,6.301,6.301
-696.365728,517.057869,6.343,6.343
-689.457566,517.782140,6.306,6.306
-682.914771,514.572291,6.453,6.453
-674.834629,509.590220,6.851,6.851
-667.455095,503.491914,7.209,7.209
-649.952265,489.704685,7.280,7.280
-641.457763,482.647516,7.051,7.051
-633.144098,473.399122,6.920,6.920
-619.831161,458.347470,6.677,6.677
-608.994349,443.630075,6.442,6.442
-602.029317,433.004645,6.176,6.176
-596.085016,422.331707,6.235,6.235
-579.792452,392.793916,6.397,6.397
-515.154574,277.544442,6.115,6.115
-510.841538,271.016591,6.260,6.260
-506.065232,262.644497,6.218,6.218
-498.971646,254.734995,6.395,6.395
-491.793885,246.466852,6.383,6.383
-482.984142,239.509874,6.253,6.253
-474.087163,233.835948,6.253,6.253
-464.589981,227.453994,6.275,6.275
-455.408001,221.913302,6.390,6.390
-444.939471,218.596946,6.355,6.355
-437.451529,215.935634,6.262,6.262
-428.196705,213.938311,6.379,6.379
-419.693394,212.486927,6.287,6.287
-411.301732,211.417337,6.182,6.182
-400.402233,210.770358,6.197,6.197
-391.238404,210.074802,6.257,6.257
-384.041035,210.791210,6.232,6.232
-374.287911,212.546339,6.206,6.206
-365.438610,214.303843,6.220,6.220
-355.596421,217.431568,6.139,6.139
-346.440149,220.842325,6.283,6.283
-335.191324,227.557099,6.332,6.332
-323.623105,235.064777,6.208,6.208
-311.438096,245.196918,6.295,6.295
-301.494603,257.697644,6.059,6.059
-295.516079,265.529880,6.262,6.262
-289.746054,276.120665,6.261,6.261
-271.794861,315.683151,6.100,6.100
-257.147249,345.283006,5.974,5.974
-252.699405,353.652233,6.137,6.137
-244.896351,363.768464,6.140,6.140
-237.678030,371.951705,6.222,6.222
-229.201643,380.370841,6.233,6.233
-219.032666,386.703039,6.214,6.214
-207.918422,391.953140,6.133,6.133
-196.409556,395.614927,6.285,6.285
-189.233591,397.701380,6.320,6.320
-179.559933,397.960091,6.330,6.330
-171.145852,397.625623,6.307,6.307
-162.126156,396.414168,6.279,6.279
-148.812092,391.811818,6.499,6.499
-135.939088,384.972968,6.411,6.411
-125.067001,376.430642,6.282,6.282
-116.885458,366.609589,6.260,6.260
-109.155852,357.012791,6.308,6.308
-78.086466,288.538841,5.911,5.911
-75.676870,282.036583,6.257,6.257
-70.856093,277.916395,6.357,6.357
-65.142870,274.037044,6.287,6.287
-59.868246,271.709810,6.595,6.595
-50.561052,269.114213,6.590,6.590
-41.527837,268.494023,6.224,6.224
-35.313480,269.391907,6.209,6.209
-27.955235,273.165241,6.047,6.047
-24.750565,276.438273,6.251,6.251
12.795700,322.119119,6.017,6.017
15.045494,326.411983,6.212,6.212
17.579746,331.873761,6.126,6.126
18.949231,336.561081,6.019,6.019
19.153510,341.829149,6.088,6.088
19.238642,346.443192,5.669,5.669
18.328123,352.442471,5.929,5.929
16.801990,358.542219,5.980,5.980
13.785748,365.724545,6.366,6.366
-31.898562,442.451180,6.282,6.282
-70.677471,509.325696,6.145,6.145
-94.582441,549.111963,5.626,5.626
-95.907004,551.390697,5.957,5.957
-138.156783,622.441030,6.540,6.540
-161.952789,664.526802,6.184,6.184
-209.787707,746.503159,7.065,7.065
-213.335686,751.769485,7.336,7.336
-217.357743,754.817726,7.129,7.129
-221.045514,755.209105,6.943,6.943
-224.691533,754.515492,6.497,6.497
-228.210785,753.720718,6.387,6.387
-232.965968,750.703261,6.466,6.466
-239.627110,743.997581,6.273,6.273
-244.961770,736.511359,6.399,6.399
-253.254865,725.376956,6.041,6.041
-257.482111,720.505027,5.872,5.872
-261.922529,716.730429,6.199,6.199
-267.124285,714.172545,6.137,6.137
-272.220303,712.350700,6.246,6.246
-277.344345,711.513494,6.114,6.114
-283.696541,711.706980,6.195,6.195
-290.183722,712.053366,5.996,5.996
-296.535857,713.526006,5.915,5.915
-306.161012,719.522451,5.959,5.959
-312.710261,726.222875,5.941,5.941
-318.098901,732.872446,6.010,6.010
-323.733772,740.981250,6.110,6.110
-327.580188,748.348777,6.157,6.157
-331.128573,756.586984,6.161,6.161
-334.933323,772.677788,5.807,5.807
-336.173314,786.802937,5.960,5.960
-335.738514,795.097338,6.014,6.014
-334.635132,801.573153,5.964,5.964
-332.778146,808.497163,5.983,5.983
-330.208169,816.456260,6.007,6.007
-325.614839,826.690607,6.205,6.205
-317.581685,836.732801,6.615,6.615
-310.793440,845.014331,6.795,6.795
-299.429110,854.456606,6.744,6.744
-285.411789,861.787608,6.916,6.916
-270.032771,867.730295,6.947,6.947
-253.569655,870.540427,6.900,6.900
-247.550303,870.893726,6.955,6.955
-239.159904,871.087359,6.964,6.964
-223.624069,869.950006,6.881,6.881
