# x_m,y_m,w_tr_right_m,w_tr_left_m
-1051.583726,-468.895176,6.399,6.399
-1073.605029,-446.399794,6.134,6.134
-1099.765330,-425.158704,6.134,6.134
-1121.642746,-410.943704,5.981,5.981
-1154.349531,-402.794375,6.015,6.015
-1183.343120,-398.631785,5.992,5.992
-1213.458153,-398.432479,6.187,6.187
-1248.771880,-404.610994,6.075,6.075
-1283.832538,-421.627136,6.005,6.005
-1316.628009,-442.382181,6.079,6.079
-1346.707112,-472.384387,6.109,6.109
-1366.591665,-501.612967,6.014,6.014
-1379.717816,-533.707448,5.992,5.992
-1385.984192,-562.770056,5.990,5.990
-1387.642032,-583.244622,6.018,6.018
-1387.063228,-601.146314,5.984,5.984
-1382.410289,-629.506700,5.969,5.969
-1371.878911,-659.222431,5.988,5.988
-1328.959755,-745.840640,10.191,10.191
-1307.135426,-793.173274,9.519,9.519
-1306.546622,-806.715021,7.926,7.926
-1309.243739,-817.838539,6.372,6.372
-1323.245821,-828.326535,5.799,5.799
-1436.610455,-898.138722,5.863,5.863
-1523.978580,-950.917977,5.729,5.729
-1647.787358,-1026.899301,5.861,5.861
-1667.331319,-1033.204414,5.768,5.768
-1680.203929,-1028.747705,5.904,5.904
-1693.688391,-1019.295853,5.786,5.786
-1705.244303,-999.615607,5.866,5.866
-1759.493631,-880.982548,5.812,5.812
-1773.887661,-850.860612,6.751,6.751
-1788.684739,-812.197276,5.713,5.713
-1792.510830,-786.371871,5.738,5.738
-1791.962321,-760.210107,5.551,5.551
-1789.686308,-745.373787,5.647,5.647
-1771.197379,-645.661779,5.659,5.659
-1766.960773,-635.980099,5.725,5.725
-1758.353205,-627.862644,5.970,5.970
-1742.768544,-625.982527,5.821,5.821
-1483.269248,-585.523415,5.685,5.685
-1469.916320,-579.823671,5.898,5.898
-1462.645891,-574.809020,6.133,6.133
-1459.982070,-562.788713,5.972,5.972
-1445.242813,-505.445983,5.583,5.583
-1443.811401,-497.330314,5.670,5.670
-1443.406655,-480.376604,5.792,5.792
-1445.233350,-468.781223,5.744,5.744
-1525.539876,-249.522939,5.673,5.673
-1531.113775,-233.269159,5.809,5.809
-1530.348139,-221.368347,6.035,6.035
-1523.209455,-211.693011,5.891,5.891
-1510.193506,-203.410635,5.658,5.658
-1453.452577,-179.315987,7.496,7.496
-1408.054481,-163.052104,7.347,7.347
-1365.724520,-151.889370,7.441,7.441
-1319.242706,-147.504481,7.522,7.522
-1273.595632,-145.103107,7.529,7.529
-1227.802915,-146.613321,6.800,6.800
-1186.931725,-151.239555,5.916,5.916
-1130.869001,-158.920990,5.900,5.900
-1082.990174,-174.585713,5.910,5.910
-1024.248585,-187.289914,5.840,5.840
-998.155485,-196.814435,5.956,5.956
-926.010907,-223.054315,5.992,5.992
-890.450481,-238.799935,5.988,5.988
-851.863029,-252.117809,5.944,5.944
-794.788455,-279.090571,5.847,5.847
-758.427312,-294.456275,5.831,5.831
-726.328809,-304.324995,6.344,6.344
-683.307280,-310.604386,6.213,6.213
-633.877795,-318.619006,6.471,6.471
-589.345987,-319.248125,6.677,6.677
-550.544718,-313.148113,5.937,5.937
-498.846562,-298.903022,6.356,6.356
-469.178497,-288.503502,7.252,7.252
-458.757872,-287.389467,7.709,7.709
-454.551346,-294.032065,5.793,5.793
-452.013064,-302.076136,5.715,5.715
-430.757430,-365.979741,6.364,6.364
-423.905523,-375.073471,5.749,5.749
-409.263227,-388.172334,5.933,5.933
-394.450585,-390.347633,5.656,5.656
-378.439833,-387.431012,5.813,5.813
-352.070764,-381.569488,5.799,5.799
-329.616436,-372.075635,5.783,5.783
-310.132573,-355.272222,5.831,5.831
-296.645532,-339.464556,5.804,5.804
-230.162660,-237.307958,5.562,5.562
-230.046938,-227.456994,5.750,5.750
-232.007234,-221.955875,5.656,5.656
-238.810827,-212.112838,6.946,6.946
-278.238101,-188.512734,5.836,5.836
-287.113572,-181.360318,5.851,5.851
-292.511067,-173.811842,5.730,5.730
-295.182272,-164.542809,5.733,5.733
-293.765931,-153.702220,5.563,5.563
-290.326587,-144.726239,5.786,5.786
-172.696265,41.783644,5.769,5.769
-109.920741,145.087652,5.678,5.678
-102.683970,153.355803,6.070,6.070
-95.608889,156.269473,6.465,6.465
-89.965332,157.473579,6.727,6.727
40.159087,101.985338,6.586,6.586
44.641393,97.764777,6.521,6.521
46.672614,90.157925,6.585,6.585
46.417173,80.364849,6.533,6.533
44.354311,72.787169,6.799,6.799
-225.278563,-350.691916,6.918,6.918
-245.427644,-373.436315,6.952,6.952
-260.078018,-384.281101,7.058,7.058
-278.539275,-397.519645,6.936,6.936
-299.048713,-409.851970,6.855,6.855
-323.026954,-420.943566,6.965,6.965
-359.846453,-434.144852,6.841,6.841
-480.881960,-468.830734,6.992,6.992
-527.777509,-481.833083,6.943,6.943
-812.953796,-558.300724,5.957,5.957
-894.404604,-582.375207,7.704,7.704
-938.196900,-595.550930,7.104,7.104
-944.595731,-595.012052,7.146,7.146
-950.654326,-591.773522,6.567,6.567
-956.341126,-586.735066,6.001,6.001
-960.790092,-579.604084,6.374,6.374
-968.344303,-553.077160,6.048,6.048
-972.585450,-543.369264,6.244,6.244
-980.131463,-536.715559,6.095,6.095
-999.537813,-518.965168,6.026,6.026
-1026.961675,-491.375687,6.190,6.190
