# x_m,y_m,w_tr_right_m,w_tr_left_m
862.301738,-1226.972506,4.933,4.933
867.079313,-1241.718802,4.699,4.699
868.775277,-1248.578426,4.914,4.914
869.654319,-1254.308007,4.961,4.961
870.116078,-1258.998092,5.077,5.077
869.869129,-1264.517558,5.030,5.030
868.808523,-1271.551767,5.114,5.114
866.389941,-1278.434520,5.095,5.095
863.146559,-1284.059660,4.957,4.957
858.459005,-1290.053045,4.836,4.836
852.717339,-1295.508395,4.481,4.481
849.553539,-1298.230225,4.511,4.511
843.599922,-1301.778661,4.406,4.406
834.964100,-1306.621175,4.420,4.420
828.422016,-1312.243773,4.352,4.352
823.408942,-1317.453910,4.454,4.454
819.020259,-1324.764646,4.402,4.402
816.328548,-1330.542841,4.350,4.350
814.140185,-1336.573142,4.386,4.386
812.988970,-1341.430020,4.363,4.363
812.375149,-1347.323290,4.269,4.269
812.132424,-1351.737521,4.395,4.395
812.512162,-1355.580199,4.266,4.266
813.234809,-1359.059717,4.277,4.277
815.812899,-1368.826979,4.266,4.266
836.515437,-1439.086228,4.503,4.503
840.058685,-1452.797080,4.532,4.532
840.869341,-1462.059494,4.539,4.539
840.520092,-1471.240007,4.369,4.369
839.770890,-1476.095428,4.485,4.485
838.583224,-1481.901698,4.416,4.416
836.826454,-1486.416526,4.302,4.302
835.166851,-1490.233671,4.292,4.292
832.428599,-1495.171510,4.316,4.316
829.902698,-1499.094666,4.150,4.150
827.095672,-1502.577743,4.335,4.335
823.212843,-1505.929834,4.516,4.516
811.088748,-1514.913979,4.628,4.628
797.623656,-1524.753308,4.584,4.584
583.809115,-1687.108881,4.465,4.465
575.977457,-1691.005432,4.539,4.539
567.836863,-1694.349068,4.570,4.570
559.637807,-1694.639648,4.482,4.482
550.076535,-1693.440875,4.486,4.486
541.807634,-1691.064535,4.486,4.486
532.658360,-1688.442066,4.519,4.519
526.355260,-1684.452456,4.408,4.408
520.820867,-1679.760034,4.411,4.411
516.735398,-1675.578526,4.408,4.408
511.758236,-1669.195605,4.380,4.380
507.735702,-1660.219635,4.366,4.366
505.489294,-1650.236936,4.403,4.403
505.149977,-1642.238594,4.402,4.402
506.014475,-1635.391585,4.352,4.352
507.988663,-1629.193529,4.362,4.362
511.041066,-1621.840213,4.349,4.349
515.381687,-1615.110379,4.379,4.379
521.391984,-1608.320170,4.402,4.402
526.962444,-1602.844812,4.480,4.480
534.350274,-1598.305935,4.414,4.414
541.035669,-1593.773671,4.412,4.412
584.186007,-1566.954952,4.510,4.510
609.680440,-1549.581491,4.539,4.539
623.702134,-1539.915739,4.441,4.441
633.269147,-1532.843781,4.382,4.382
638.592480,-1527.367288,4.495,4.495
643.181045,-1520.919851,4.445,4.445
646.584836,-1513.378128,4.514,4.514
648.860113,-1506.321575,4.458,4.458
650.099581,-1498.771487,4.478,4.478
650.178964,-1491.481822,4.607,4.607
649.489129,-1485.217994,4.546,4.546
647.239468,-1476.645975,4.483,4.483
644.481630,-1468.178058,4.445,4.445
612.796148,-1386.401451,5.434,5.434
599.154481,-1349.423848,5.723,5.723
587.023590,-1310.785301,5.573,5.573
577.734086,-1272.721061,4.384,4.384
550.184513,-1149.901500,4.549,4.549
531.009759,-1061.328513,4.422,4.422
528.101963,-1048.703841,4.313,4.313
523.874843,-1034.991381,4.407,4.407
518.695373,-1023.777592,4.315,4.315
513.075474,-1014.610926,4.480,4.480
504.817846,-1004.089835,4.530,4.530
496.246652,-995.448673,4.539,4.539
488.700957,-990.219123,4.479,4.479
481.550675,-985.321988,4.496,4.496
469.711482,-979.506406,4.366,4.366
458.983909,-975.528590,4.357,4.357
450.194461,-973.308795,4.361,4.361
443.138328,-972.876960,4.466,4.466
386.922733,-970.541557,4.220,4.220
383.407750,-970.661115,4.454,4.454
363.617305,-971.969835,4.236,4.236
351.206269,-974.125593,4.316,4.316
337.650138,-977.521058,4.336,4.336
318.738651,-984.481506,4.332,4.332
307.589413,-991.002482,4.355,4.355
297.048160,-998.240183,4.423,4.423
288.502086,-1004.345159,4.427,4.427
281.687428,-1010.972978,4.518,4.518
272.697997,-1019.769416,4.468,4.468
264.530773,-1029.055551,4.386,4.386
256.107175,-1041.118786,4.461,4.461
249.259223,-1052.961666,4.323,4.323
242.365628,-1068.604357,4.395,4.395
213.332927,-1150.816936,4.404,4.404
145.355498,-1340.951338,4.470,4.470
141.050833,-1352.948400,4.329,4.329
140.315395,-1355.434027,4.461,4.461
136.658684,-1364.977600,4.351,4.351
132.181192,-1373.986563,4.099,4.099
123.488247,-1387.100154,4.014,4.014
115.645704,-1394.784896,4.037,4.037
106.935119,-1401.075971,4.053,4.053
99.062945,-1406.226049,3.927,3.927
88.261284,-1409.962245,3.970,3.970
77.040224,-1412.063693,4.093,4.093
62.230152,-1412.436999,3.998,3.998
49.199475,-1408.594960,4.057,4.057
37.485805,-1404.900010,4.327,4.327
28.034867,-1400.823036,4.474,4.474
19.275270,-1395.981720,4.534,4.534
5.283196,-1387.564476,4.510,4.510
-7.523173,-1382.041614,4.391,4.391
-14.126629,-1380.282190,4.380,4.380
-21.658234,-1379.297665,4.361,4.361
-32.186586,-1379.003120,4.423,4.423
-43.950339,-1379.528299,4.379,4.379
-55.490000,-1383.561297,4.247,4.247
-65.423876,-1388.273163,4.332,4.332
-74.038949,-1393.638304,4.360,4.360
-81.734353,-1400.699694,4.429,4.429
-88.640256,-1407.978338,4.471,4.471
-94.818845,-1417.812510,4.433,4.433
-132.438419,-1484.486967,4.500,4.500
-148.935653,-1512.130395,4.735,4.735
-168.567672,-1545.200545,4.357,4.357
-185.504240,-1574.247918,4.384,4.384
-189.639536,-1581.507225,4.445,4.445
-193.539277,-1587.248270,4.507,4.507
-200.638289,-1594.207680,4.495,4.495
-210.991140,-1601.032638,4.565,4.565
-221.321171,-1604.448482,4.501,4.501
-229.802290,-1604.599782,4.451,4.451
-238.821498,-1604.066438,4.511,4.511
-248.109507,-1602.144223,4.448,4.448
-257.368799,-1597.824254,4.389,4.389
-264.567353,-1592.724928,4.415,4.415
-341.724590,-1542.390251,4.433,4.433
-355.034865,-1534.406362,4.548,4.548
-366.604313,-1525.330620,4.560,4.560
-376.272831,-1515.866394,4.557,4.557
-382.055738,-1507.676551,4.580,4.580
-388.366475,-1497.446627,4.505,4.505
-394.212944,-1483.899899,4.472,4.472
-398.511495,-1469.940372,4.423,4.423
-400.186611,-1456.639121,4.468,4.468
-400.078998,-1443.813587,4.355,4.355
-398.541575,-1432.711810,4.268,4.268
-395.875063,-1421.885985,4.326,4.326
-376.691816,-1363.921879,4.499,4.499
-369.317766,-1345.250715,4.561,4.561
-363.204245,-1332.464225,4.481,4.481
-354.932616,-1316.239128,4.431,4.431
-348.088377,-1304.507829,4.475,4.475
-336.246750,-1286.074798,4.339,4.339
-323.267268,-1267.779498,4.301,4.301
-308.832231,-1249.733552,4.254,4.254
-265.282923,-1201.682093,4.611,4.611
-242.342673,-1176.933623,4.693,4.693
-221.953045,-1156.793004,4.753,4.753
-197.994285,-1137.911241,4.627,4.627
-182.886482,-1126.923125,4.664,4.664
-163.823284,-1115.665480,4.671,4.671
-103.705222,-1081.393296,4.746,4.746
-44.061661,-1046.781078,5.199,5.199
-12.333761,-1029.627000,4.669,4.669
3.157534,-1020.476477,4.683,4.683
16.885524,-1009.967396,4.798,4.798
27.967617,-1001.568591,4.793,4.793
40.208918,-990.257555,4.759,4.759
56.115534,-974.233132,4.824,4.824
71.972710,-955.681030,4.746,4.746
81.305939,-943.208291,4.632,4.632
88.554332,-931.793748,4.625,4.625
94.853669,-921.195380,4.675,4.675
101.274026,-909.268752,4.848,4.848
113.324922,-881.044789,4.621,4.621
145.785706,-800.498427,4.693,4.693
163.069593,-757.823217,4.667,4.667
166.500312,-748.723523,4.609,4.609
170.118744,-736.036832,4.535,4.535
172.400591,-725.800280,4.568,4.568
173.426526,-715.302355,4.612,4.612
174.025797,-705.069667,4.558,4.558
173.946069,-696.564745,4.639,4.639
173.068935,-686.099515,4.617,4.617
170.862962,-673.761595,4.601,4.601
166.902200,-659.957505,4.693,4.693
160.524361,-643.575881,4.656,4.656
81.713870,-458.253319,4.740,4.740
72.896836,-433.379097,5.008,5.008
66.347297,-409.278698,5.456,5.456
62.610835,-393.963867,5.509,5.509
59.144623,-377.331183,5.484,5.484
55.670970,-355.623863,5.487,5.487
49.970214,-311.266707,5.427,5.427
42.873859,-252.028684,5.409,5.409
36.356364,-199.677189,5.416,5.416
34.993087,-187.055500,5.292,5.292
35.089460,-181.073075,5.257,5.257
36.229935,-177.536817,5.208,5.208
37.671534,-173.997649,5.403,5.403
39.940956,-171.068297,5.399,5.399
43.482716,-169.213124,5.417,5.417
47.231307,-168.233499,5.514,5.514
52.487105,-168.159028,5.643,5.643
61.779126,-168.272711,5.553,5.553
76.576726,-170.585202,5.036,5.036
82.304384,-170.635198,5.180,5.180
85.936319,-168.984149,5.267,5.267
