# x_m,y_m,w_tr_right_m,w_tr_left_m
-507.492360,-8.094547,5.430,5.430
-513.814567,2.099126,5.398,5.398
-571.475148,82.385387,5.364,5.364
-604.694078,129.541039,5.440,5.440
-641.894558,196.991826,5.094,5.094
-674.953358,264.322567,5.088,5.088
-735.348410,396.071804,5.269,5.269
-739.631262,404.423715,5.297,5.297
-743.281525,410.983503,5.336,5.336
-749.173776,420.375490,5.330,5.330
-753.326422,426.161361,5.410,5.410
-773.918511,456.796983,5.468,5.468
-784.936444,471.449773,5.413,5.413
-796.919857,485.601333,5.416,5.416
-885.116984,576.510351,5.423,5.423
-931.987367,623.148442,5.431,5.431
-940.201233,631.274318,5.356,5.356
-945.135188,636.942386,5.425,5.425
-950.292597,642.659034,5.325,5.325
-953.662436,648.594371,5.336,5.336
-954.756325,654.346963,5.379,5.379
-954.052214,659.316420,5.261,5.261
-951.890952,663.207643,5.401,5.401
-948.731896,664.621108,5.556,5.556
-941.256146,665.555584,5.507,5.507
-930.830561,666.474910,5.443,5.443
-890.500568,671.950024,5.372,5.372
-860.537864,673.349154,5.426,5.426
-840.345582,673.568840,5.456,5.456
-815.744123,672.912390,5.454,5.454
-793.145130,673.407385,5.461,5.461
-770.251704,673.259080,5.437,5.437
-749.455368,671.414572,5.454,5.454
-717.471554,668.344482,5.373,5.373
-709.320396,667.437212,5.352,5.352
-701.449127,666.259227,5.310,5.310
-568.138288,639.741140,5.690,5.690
-442.656497,615.440756,5.864,5.864
-402.316623,610.386577,5.654,5.654
-384.354607,607.833295,5.951,5.951
-363.631708,606.534044,5.563,5.563
-256.320509,601.998171,5.326,5.326
-193.043043,599.054055,5.403,5.403
-182.060619,598.749556,5.289,5.289
-174.523254,598.236991,5.289,5.289
-166.998475,595.254644,5.243,5.243
-160.872473,591.365273,5.324,5.324
-156.663107,586.611388,5.229,5.229
-154.747089,582.526499,5.214,5.214
-153.477670,578.062203,5.317,5.317
-153.887263,571.325050,5.205,5.205
-156.231160,563.638903,5.337,5.337
-159.900068,554.880164,5.301,5.301
-163.502542,548.743512,5.354,5.354
-167.649112,542.053405,5.456,5.456
-174.002021,533.536444,5.423,5.423
-180.763569,524.308732,5.418,5.418
-188.897504,514.121847,5.475,5.475
-199.695519,502.141427,5.440,5.440
-206.289727,495.770563,5.443,5.443
-215.330571,487.654369,5.468,5.468
-227.964412,478.775148,5.451,5.451
-241.965593,470.740690,5.471,5.471
-257.441837,463.042043,5.396,5.396
-265.292216,459.330544,5.414,5.414
-271.932582,456.971406,5.393,5.393
-279.337062,454.883831,5.413,5.413
-292.081455,452.028837,5.453,5.453
-303.409942,449.877924,5.479,5.479
-315.242351,448.300688,5.493,5.493
-328.848730,446.175672,5.462,5.462
-341.369666,445.528614,5.434,5.434
-351.478255,445.963679,5.464,5.464
-363.565290,447.862358,5.367,5.367
-422.316315,454.593849,5.348,5.348
-486.633619,467.729652,5.387,5.387
-505.906779,471.591637,5.313,5.313
-512.284553,472.525738,5.449,5.449
-524.970226,474.589502,5.508,5.508
-531.347582,474.645966,5.702,5.702
-537.601702,474.500088,5.664,5.664
-544.551004,474.329054,5.550,5.550
-551.805525,473.034527,5.481,5.481
-562.573513,470.002993,5.320,5.320
-568.316580,467.199453,5.300,5.300
-577.905798,462.148915,5.368,5.368
-587.859330,453.416667,5.339,5.339
-595.351708,445.788649,5.229,5.229
-600.104710,439.950034,5.253,5.253
-603.879416,432.931400,5.133,5.133
-606.133432,426.896045,5.206,5.206
-608.495748,419.062483,5.244,5.244
-609.825216,411.944802,5.326,5.326
-610.553379,403.745495,5.369,5.369
-610.568640,395.744275,5.310,5.310
-609.761523,387.295141,5.251,5.251
-607.874854,378.750293,5.272,5.272
-605.440264,370.374647,5.303,5.303
-601.486567,361.927294,5.381,5.381
-565.806300,297.001404,5.313,5.313
-531.614182,238.832896,5.311,5.311
-524.930696,226.865900,5.301,5.301
-518.206086,219.184411,5.363,5.363
-509.085917,210.485051,5.320,5.320
-497.703540,203.645170,5.365,5.365
-485.580027,197.921859,5.333,5.333
-471.918886,195.518094,5.353,5.353
-459.916359,194.629489,5.378,5.378
-447.088565,197.245080,5.389,5.389
-433.759511,201.434077,5.367,5.367
-423.588004,205.698619,5.304,5.304
-417.485549,208.983630,5.315,5.315
-411.523395,214.740865,5.351,5.351
-406.458704,219.553481,5.356,5.356
-399.363713,227.715622,5.340,5.340
-394.172642,235.548736,5.241,5.241
-390.322745,241.113741,5.330,5.330
-383.463780,250.485495,5.197,5.197
-378.261101,255.806095,5.257,5.257
-371.154139,262.259213,5.361,5.361
-364.301673,268.529727,5.295,5.295
-357.073659,274.024684,5.352,5.352
-349.457354,279.206366,5.385,5.385
-339.796684,285.695777,5.383,5.383
-329.891513,291.689000,5.399,5.399
-316.771905,297.950347,5.347,5.347
-303.058725,302.521239,5.367,5.367
-284.045757,306.054331,5.429,5.429
-267.817992,308.650340,5.415,5.415
-250.769405,309.399265,5.380,5.380
-232.704494,311.159420,5.385,5.385
-167.817482,313.434075,5.420,5.420
-111.234443,312.738414,5.429,5.429
-74.382170,312.847163,5.369,5.369
22.216384,315.208889,5.412,5.412
189.231172,319.120361,5.357,5.357
197.894539,319.047731,5.012,5.012
199.757709,318.900987,5.300,5.300
206.573996,317.393745,5.381,5.381
213.665967,315.340580,5.416,5.416
221.537843,311.548410,5.082,5.082
232.118599,305.949135,5.476,5.476
