# x_m,y_m,w_tr_right_m,w_tr_left_m
-767.756299,-112.158923,4.420,4.420
-709.672042,-130.049485,4.118,4.118
-701.652003,-132.320055,4.188,4.188
-694.712880,-133.528557,4.353,4.353
-682.371759,-134.601007,4.405,4.405
-669.282416,-132.991959,4.512,4.512
-655.693469,-129.572985,4.501,4.501
-639.001766,-124.230810,4.562,4.562
-624.210206,-119.189522,4.596,4.596
-608.853473,-113.366459,4.545,4.545
-596.217976,-107.224796,4.597,4.597
-583.615601,-101.866859,4.625,4.625
-572.308561,-95.538658,4.541,4.541
-552.000277,-81.755592,4.551,4.551
-540.039449,-73.358105,4.551,4.551
-530.734733,-66.455046,4.541,4.541
-512.354841,-50.486561,4.616,4.616
-473.655915,-13.969271,4.609,4.609
-455.725892,3.455526,4.549,4.549
-392.375986,63.621329,4.514,4.514
-386.805548,68.080889,4.607,4.607
-369.759512,82.097298,4.430,4.430
-362.683575,87.649075,4.448,4.448
-354.927440,93.096529,4.421,4.421
-349.943142,96.155461,4.315,4.315
-346.656636,96.976024,4.335,4.335
-343.222352,96.751248,4.355,4.355
-340.470637,96.454551,4.347,4.347
-336.659562,95.257650,4.312,4.312
-332.409917,93.966393,4.636,4.636
-308.975675,74.093571,4.606,4.606
-304.538934,71.469863,4.606,4.606
-299.635852,69.999007,4.503,4.503
-294.840543,69.871203,4.609,4.609
-288.364153,71.129104,4.622,4.622
-283.929099,73.731049,4.481,4.481
-279.410967,77.466847,4.624,4.624
-258.258330,96.448775,4.602,4.602
-245.256819,106.291277,4.712,4.712
-233.272878,112.468777,4.657,4.657
-220.641197,117.650457,4.907,4.907
-204.489050,120.933029,5.967,5.967
-193.178580,121.721795,6.093,6.093
-178.260651,120.396370,5.950,5.950
-167.781835,118.300297,5.850,5.850
-163.072900,117.475722,5.761,5.761
-153.327619,116.182385,4.852,4.852
-147.432686,115.105241,4.755,4.755
-131.106888,110.703546,4.742,4.742
-119.933880,106.932376,4.973,4.973
-95.371467,93.267824,5.860,5.860
-74.588443,79.403501,7.004,7.004
-59.258436,66.056906,7.449,7.449
-42.986066,51.463062,7.678,7.678
-22.594600,28.926593,7.512,7.512
5.914108,-2.854559,7.287,7.287
232.032375,-267.469240,7.369,7.369
403.815325,-470.815494,5.626,5.626
421.643835,-491.045966,5.339,5.339
430.985987,-502.892831,4.935,4.935
438.948957,-516.764113,4.643,4.643
443.836252,-527.375208,4.620,4.620
446.382263,-534.185125,4.585,4.585
447.563949,-540.386316,4.593,4.593
448.672315,-548.508098,4.609,4.609
449.186146,-554.447933,4.689,4.689
448.716468,-564.552253,4.658,4.658
446.923963,-573.767152,4.551,4.551
444.602987,-582.381178,4.676,4.676
439.878575,-599.252233,4.674,4.674
430.770602,-627.224340,4.599,4.599
425.477100,-636.270210,4.565,4.565
419.903476,-644.128173,4.811,4.811
411.996829,-650.750298,4.920,4.920
402.942901,-656.134026,4.979,4.979
393.757159,-660.260972,4.884,4.884
383.229206,-662.465801,4.990,4.990
373.686570,-663.124629,4.964,4.964
363.161455,-661.971387,4.905,4.905
353.140001,-659.231988,4.934,4.934
344.510403,-654.507181,4.942,4.942
336.527199,-648.439206,4.752,4.752
328.970067,-639.926004,4.810,4.810
313.523162,-615.733366,4.503,4.503
247.881524,-517.261052,4.630,4.630
235.161712,-500.071495,4.668,4.668
227.178895,-492.164171,4.605,4.605
218.493187,-485.339615,4.664,4.664
208.708512,-480.016869,4.653,4.653
198.207296,-475.846125,4.635,4.635
187.043158,-473.241319,4.680,4.680
175.939671,-472.283794,4.649,4.649
149.668836,-471.817695,4.593,4.593
139.331492,-471.193966,4.666,4.666
129.304738,-469.311928,4.614,4.614
120.449633,-465.741630,4.650,4.650
111.201303,-461.451858,4.600,4.600
103.233667,-455.564970,4.493,4.493
96.575413,-448.439878,4.501,4.501
90.642483,-440.738225,4.406,4.406
85.802258,-432.146160,4.345,4.345
82.318723,-422.705164,4.391,4.391
80.150342,-413.265173,4.534,4.534
64.140923,-359.490575,4.648,4.648
60.611543,-349.434204,4.703,4.703
55.762358,-339.492508,4.647,4.647
49.100865,-331.078381,4.558,4.558
41.846814,-322.813023,4.673,4.673
33.735536,-315.065344,4.580,4.580
24.552110,-309.033854,4.425,4.425
20.988163,-307.433752,4.615,4.615
14.892561,-304.029098,4.575,4.575
4.318169,-300.340597,4.552,4.552
-6.148000,-298.094584,4.606,4.606
-16.853788,-297.198748,4.633,4.633
-55.685667,-296.786131,4.515,4.515
-61.738512,-296.891296,4.561,4.561
-69.037508,-296.566944,4.632,4.632
-82.251454,-293.019495,4.672,4.672
-94.520800,-288.158909,4.656,4.656
-105.708588,-281.610959,4.645,4.645
-115.447461,-273.667429,4.678,4.678
-125.198577,-263.315746,4.647,4.647
-132.105411,-252.704854,4.584,4.584
-137.684410,-240.969816,4.539,4.539
-141.168401,-228.388022,4.546,4.546
-142.361895,-215.336031,4.627,4.627
-141.139477,-202.460989,4.491,4.491
-137.529647,-189.456294,4.524,4.524
-133.756990,-179.545505,4.598,4.598
-117.466006,-132.323032,4.651,4.651
-113.836255,-120.826818,4.629,4.629
-112.238898,-109.138062,4.757,4.757
-112.591393,-97.333179,4.665,4.665
-114.526442,-85.064630,4.638,4.638
-118.123020,-73.811937,4.716,4.716
-123.434820,-62.964809,4.655,4.655
-129.978347,-52.565558,4.697,4.697
-138.513635,-43.994088,4.651,4.651
-148.085438,-36.394899,4.610,4.610
-163.935938,-26.994606,4.685,4.685
-182.330944,-18.109072,4.666,4.666
-197.391395,-12.048413,4.531,4.531
-212.126371,-6.337248,4.483,4.483
-223.036412,-2.019002,4.396,4.396
-233.150672,-0.034285,4.581,4.581
-241.719167,1.804142,4.569,4.569
-254.621443,3.082486,4.518,4.518
-265.490671,3.965330,4.487,4.487
-288.295039,3.841167,4.461,4.461
-300.419910,2.778215,4.410,4.410
-314.186686,1.999341,4.439,4.439
-329.293427,-0.629852,4.396,4.396
-344.601683,-6.434726,4.384,4.384
-377.587543,-21.139603,4.519,4.519
-392.472618,-28.778558,4.530,4.530
-407.428412,-38.131291,4.526,4.526
-419.691160,-47.909763,4.505,4.505
-427.280667,-55.179298,4.588,4.588
-432.525775,-60.506757,4.471,4.471
-437.598029,-65.382065,4.332,4.332
-449.679269,-78.918697,4.101,4.101
-536.206828,-186.818284,4.164,4.164
-540.191881,-191.579831,4.208,4.208
-547.798304,-198.174043,4.860,4.860
-553.812677,-201.967187,4.959,4.959
-683.969666,-214.630586,4.907,4.907
-693.965854,-214.926891,5.419,5.419
-699.532464,-212.825306,5.758,5.758
-705.141759,-210.764078,5.869,5.869
-708.813646,-208.007801,5.356,5.356
-711.200619,-203.503727,4.961,4.961
-713.070881,-198.388860,4.823,4.823
-714.386197,-192.958768,4.545,4.545
-727.217169,-136.061333,4.425,4.425
-728.056722,-132.751497,4.491,4.491
-732.507976,-111.574826,4.261,4.261
-765.425320,44.595273,4.034,4.034
-770.875917,70.835542,3.886,3.886
-772.806886,86.356125,4.036,4.036
-772.778506,99.012029,4.052,4.052
-770.877534,111.707556,4.065,4.065
-765.248656,131.135002,4.129,4.129
-756.374829,152.458624,4.459,4.459
-733.449528,205.770921,5.102,5.102
-731.716035,213.696911,5.526,5.526
-732.578849,221.800353,5.797,5.797
-735.257719,228.212969,6.144,6.144
-739.776747,233.170954,6.469,6.469
-745.375008,235.938433,6.744,6.744
-752.452458,236.472086,6.870,6.870
-758.772559,235.070985,6.922,6.922
-765.204156,231.450992,6.832,6.832
-770.974320,226.724507,6.812,6.812
-775.507119,221.521003,6.998,6.998
-800.212643,175.418407,4.991,4.991
-823.799860,140.054320,4.267,4.267
-842.816140,108.615235,4.407,4.407
-852.838146,95.225224,4.388,4.388
-862.002289,84.050387,4.345,4.345
-876.380024,69.292727,4.455,4.455
-884.384629,61.671602,4.329,4.329
-892.212087,55.884173,4.260,4.260
-916.881870,40.591865,4.538,4.538
-940.111451,32.422929,4.926,4.926
-967.716888,29.416809,5.099,5.099
-986.206947,27.541811,5.313,5.313
-1004.986399,26.925274,5.055,5.055
-1018.359585,27.103866,5.070,5.070
-1035.356352,28.736986,5.200,5.200
-1059.981734,31.638665,5.097,5.097
-1094.961572,39.529467,4.953,4.953
-1125.926871,49.562315,5.051,5.051
-1156.736848,59.947010,4.613,4.613
-1179.016487,69.753800,4.373,4.373
-1200.475641,81.945381,4.210,4.210
-1218.479826,93.759428,4.398,4.398
-1239.223488,109.854627,4.585,4.585
-1250.907967,121.825724,4.650,4.650
-1261.566806,132.979655,4.551,4.551
-1269.483743,142.506771,4.605,4.605
-1278.350233,154.504441,4.618,4.618
-1289.608532,172.564216,4.635,4.635
-1299.596305,192.194965,4.519,4.519
-1330.433887,260.356509,4.567,4.567
-1358.695223,322.268718,4.398,4.398
-1362.420521,328.089045,4.422,4.422
-1366.155490,332.647947,4.506,4.506
-1371.015140,336.934956,4.552,4.552
-1376.059011,341.688513,4.538,4.538
-1382.822895,346.070014,4.487,4.487
-1388.730640,349.228023,4.487,4.487
-1395.876847,352.250680,4.433,4.433
-1403.126194,354.488272,4.510,4.510
-1419.026593,356.922755,4.487,4.487
-1439.267261,355.742953,4.461,4.461
-1452.067859,354.588800,4.510,4.510
-1466.303043,351.455596,4.561,4.561
-1483.881824,346.675891,4.529,4.529
-1494.292195,342.377243,4.442,4.442
-1503.299550,337.712284,4.561,4.561
-1507.874528,334.941482,4.719,4.719
-1513.053280,330.391907,4.926,4.926
-1517.891550,324.124730,4.969,4.969
-1522.565024,315.492388,5.145,5.145
-1526.089919,307.503305,5.334,5.334
-1529.000365,296.369465,5.322,5.322
-1529.892682,284.686301,5.160,5.160
-1528.842956,274.608779,5.040,5.040
-1525.952611,262.866208,4.911,4.911
-1521.811729,253.086648,4.903,4.903
-1515.258032,240.678484,4.657,4.657
-1510.124004,233.922693,4.637,4.637
-1506.760415,229.919294,4.757,4.757
-1492.365041,214.290083,4.648,4.648
-1476.474743,200.994669,4.299,4.299
-1459.556878,187.258702,4.214,4.214
-1428.911946,163.339555,4.198,4.198
-1407.569855,148.334045,4.156,4.156
-1388.992298,136.487283,4.708,4.708
-1345.427862,108.902648,4.290,4.290
-1305.824707,86.048662,4.220,4.220
-1268.175060,66.824359,4.236,4.236
-1238.730099,53.334135,4.587,4.587
-1229.906271,49.190100,4.409,4.409
-1204.582567,38.383485,4.223,4.223
-1171.356480,24.104786,4.427,4.427
-1121.019742,7.824628,4.164,4.164
-1033.539628,-20.760326,4.384,4.384
-922.516063,-59.136048,4.164,4.164
