# x_m,y_m,w_tr_right_m,w_tr_left_m
124.286331,317.980310,6.870,6.870
128.542169,328.202501,6.799,6.799
132.057298,332.440316,6.189,6.189
136.220061,337.647344,5.963,5.963
140.534858,340.518715,6.027,6.027
145.771209,342.561000,6.071,6.071
150.935370,343.888887,5.955,5.955
155.179613,344.038758,5.971,5.971
160.049223,344.085505,5.992,5.992
165.463738,344.141296,5.989,5.989
172.911348,343.273352,6.015,6.015
180.733075,340.631265,6.054,6.054
187.066372,336.938771,6.071,6.071
192.600945,331.767780,6.087,6.087
196.427417,326.940866,6.086,6.086
199.521035,322.979975,5.963,5.963
201.703781,317.615107,5.778,5.778
202.689321,312.712112,5.709,5.709
203.076116,307.274791,5.777,5.777
202.645969,300.779742,5.645,5.645
200.775908,291.958145,5.412,5.412
160.485803,185.502614,4.266,4.266
158.116028,177.899879,4.171,4.171
155.352775,169.213159,4.268,4.268
153.360946,162.516776,4.318,4.318
151.009803,153.019590,4.270,4.270
149.616454,144.553056,4.185,4.185
148.705526,138.218204,4.255,4.255
148.006713,130.089555,4.266,4.266
147.459877,122.707478,4.202,4.202
147.011320,113.171338,4.321,4.321
147.244903,99.017713,4.213,4.213
147.616055,77.194670,4.267,4.267
147.218211,66.986419,4.182,4.182
146.249021,60.624898,4.241,4.241
144.603237,53.428629,4.381,4.381
142.718426,48.584085,4.387,4.387
139.672513,42.672001,4.535,4.535
135.453318,36.757661,4.717,4.717
130.477457,31.893084,4.407,4.407
126.327716,28.364521,4.449,4.449
120.482767,24.637489,4.312,4.312
103.716135,16.748332,4.301,4.301
72.697912,5.170620,4.186,4.186
57.465985,-0.303679,4.214,4.214
41.110362,-5.474542,4.367,4.367
33.875482,-9.131337,4.492,4.492
28.357128,-12.794894,4.559,4.559
23.273159,-16.941747,4.528,4.528
19.628112,-23.794450,4.316,4.316
17.625629,-29.461668,4.514,4.514
16.631519,-35.324583,4.587,4.587
16.600485,-42.051186,4.918,4.918
17.531428,-48.205964,4.881,4.881
19.829591,-54.356107,4.634,4.634
23.680160,-60.675081,4.678,4.678
28.800675,-66.214183,4.677,4.677
34.089792,-70.610534,4.594,4.594
41.387944,-74.031463,4.748,4.748
50.071966,-76.848051,4.725,4.725
57.488034,-76.205621,4.603,4.603
65.922562,-74.286275,4.299,4.299
136.016171,-48.623722,4.233,4.233
155.579415,-42.535861,4.224,4.224
173.856421,-37.374615,4.133,4.133
188.670713,-32.981097,4.168,4.168
204.222696,-29.862932,4.283,4.283
215.633618,-28.039897,4.382,4.382
227.131685,-26.821545,4.480,4.480
240.194350,-24.985096,4.875,4.875
252.467434,-24.268112,4.978,4.978
261.283509,-24.094670,5.006,5.006
274.697414,-24.250415,4.859,4.859
287.139614,-25.781082,4.638,4.638
301.481968,-28.891673,4.228,4.228
318.850414,-32.516953,4.080,4.080
337.893825,-36.483479,4.275,4.275
367.616438,-41.927019,4.079,4.079
381.031178,-43.719879,4.155,4.155
391.365451,-45.429224,4.161,4.161
403.423967,-46.319621,4.249,4.249
415.129123,-45.952534,4.293,4.293
425.572887,-44.867746,4.199,4.199
436.742216,-42.374658,4.230,4.230
447.247181,-39.785347,4.226,4.226
456.341548,-37.029666,4.216,4.216
466.366930,-32.900902,4.138,4.138
471.928792,-29.603601,4.068,4.068
490.544575,-19.650812,4.165,4.165
505.356090,-9.965023,4.144,4.144
519.347570,-0.852599,4.053,4.053
529.035841,6.371017,3.984,3.984
536.078364,10.927374,4.031,4.031
541.113130,13.750970,4.083,4.083
546.456237,16.756252,4.069,4.069
554.425318,20.801226,4.002,4.002
562.083103,24.241903,3.988,3.988
571.360537,27.795823,4.130,4.130
582.285406,30.980484,4.394,4.394
595.738305,34.105224,4.442,4.442
608.811268,36.565709,4.149,4.149
618.461660,37.655977,4.287,4.287
631.681732,37.558856,4.299,4.299
658.324095,36.260211,4.128,4.128
